Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1667,"CJ Soto, OP John","The next Big Five Inventory (BFI-2): Developing and assessing a hierarchical model with 15 facets to enhance bandwidth, fidelity, and predictive power.",2017,"Journal of personality and social psychology","psycnet.apa.org","https://psycnet.apa.org/journals/psp/113/1/117/","https://scholar.google.com/scholar?cites=1930066906524475489&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-08-22 15:47:17","","","","",,,,,1667,277.83,834,2,6,"Abstract [Correction Notice: An Erratum for this article was reported in Vol 113 (1) of Journal of Personality and Social Psychology (see record 2017-26058-001). In the article, all …","https://escholarship.org/content/qt16x6n05t/qt16x6n05t.pdf","https://scholar.google.com/scholar?q=related:YeAgJKD5yBoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
1617,"M Credé, MC Tynan, PD Harms","Much ado about grit: A meta-analytic synthesis of the grit literature.",2017,"Journal of Personality and social …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/113/3/492/","https://scholar.google.com/scholar?cites=7854456031676606478&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-08-22 15:47:17","","","","",,,,,1617,269.50,539,3,6,"Grit has been presented as a higher order personality trait that is highly predictive of both success and performance and distinct from other traits such as conscientiousness. This …","https://www.academia.edu/download/45783523/Much_Ado_about_Grit_A_Meta-Analytic_Synt.pdf","https://scholar.google.com/scholar?q=related:DigCaCWiAG0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
375,"LX Zou, S Cheryan","Two axes of subordination: A new model of racial position.",2017,"Journal of personality and social psychology","psycnet.apa.org","https://psycnet.apa.org/record/2017-08699-001","https://scholar.google.com/scholar?cites=17590212801014791239&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-08-22 15:47:17","","","","",,,,,375,62.50,188,2,6,"Theories of race relations have been shaped by the concept of a racial hierarchy along which Whites are the most advantaged and African Americans the most disadvantaged …","https://psycnet.apa.org/manuscript/2017-08699-001.pdf","https://scholar.google.com/scholar?q=related:R_wDeFj9HPQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
363,"JP Wilson, K Hugenberg, NO Rule","Racial bias in judgments of physical size and formidability: From size to threat.",2017,"Journal of personality and …","psycnet.apa.org","https://psycnet.apa.org/record/2017-11085-001","https://scholar.google.com/scholar?cites=11783107123550586782&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-08-22 15:47:17","","","","",,,,,363,60.50,121,3,6,"Black men tend to be stereotyped as threatening and, as a result, may be disproportionately targeted by police even when unarmed. Here, we found evidence that biased perceptions of …","https://psycnet.apa.org/manuscript/2017-11085-001.pdf","https://scholar.google.com/scholar?q=related:noeb0X8BhqMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
354,"AM Gordon, JE Stellar, CL Anderson…","The dark side of the sublime: Distinguishing a threat-based variant of awe.",2017,"… personality and social …","psycnet.apa.org","https://psycnet.apa.org/record/2016-59114-001","https://scholar.google.com/scholar?cites=209887511805701900&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-08-22 15:47:17","","","","",,,,,354,59.00,89,4,6,"Theoretical conceptualizations of awe suggest this emotion can be more positive or negative depending on specific appraisal processes. However, the emergent scientific study of awe …","https://sites.lsa.umich.edu/whirl/wp-content/uploads/sites/792/2020/08/2017-The-dark-side-of-the-sublime.pdf","https://scholar.google.com/scholar?q=related:DC_4d5Sr6QIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
308,"Y Bai, LA Maruskin, S Chen, AM Gordon…","Awe, the diminished self, and collective engagement: Universals and cultural variations in the small self.",2017,"… personality and social …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/113/2/185/","https://scholar.google.com/scholar?cites=11598503909146966041&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-08-22 15:47:17","","","","",,,,,308,51.33,62,5,6,"Awe has been theorized as a collective emotion, one that enables individuals to integrate into social collectives. In keeping with this theorizing, we propose that awe diminishes the …","https://www.academia.edu/download/78318568/Bai_et_al._2017_JPSP.pdf","https://scholar.google.com/scholar?q=related:GTivltop9qAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
299,"R Mõttus, C Kandler, W Bleidorn…","Personality traits below facets: The consensual validity, longitudinal stability, heritability, and utility of personality nuances.",2017,"Journal of Personality …","psycnet.apa.org","https://psycnet.apa.org/record/2016-21274-001","https://scholar.google.com/scholar?cites=10662798457842789937&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-08-22 15:47:17","","","","",,,,,299,49.83,75,4,6,"It has been argued that facets do not represent the bottom of the personality hierarchy—even more specific personality characteristics, nuances, could be useful for describing and …","https://www.zora.uzh.ch/id/eprint/206362/1/219856808.pdf","https://scholar.google.com/scholar?q=related:MW5NF7Te-ZMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
290,"DN Jones, DL Paulhus","Duplicity among the dark triad: Three faces of deceit.",2017,"… of Personality and Social Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/psp/113/2/329/","https://scholar.google.com/scholar?cites=5186505495363929255&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-08-22 15:47:17","","","","",,,,,290,48.33,145,2,6,"Although all 3 of the Dark Triad members are predisposed to engage in exploitative interpersonal behavior, their motivations and tactics vary. Here we explore their distinctive …","https://www.researchgate.net/profile/Delroy-Paulhus/publication/314202102_Duplicity_Among_the_Dark_Triad_Three_Faces_of_Deceit/links/5901c96e0f7e9bcf654890c7/Duplicity-Among-the-Dark-Triad-Three-Faces-of-Deceit","https://scholar.google.com/scholar?q=related:p0THzEQr-kcJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
219,"J Borghuis, JJA Denissen, D Oberski…","Big Five personality stability, change, and codevelopment across adolescence and early adulthood.",2017,"… personality and social …","psycnet.apa.org","https://psycnet.apa.org/record/2017-09436-001","https://scholar.google.com/scholar?cites=14843372584527434930&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-08-22 15:47:17","","","","",,,,,219,36.50,55,4,6,"Using data from 2 large and overlapping cohorts of Dutch adolescents, containing up to 7 waves of longitudinal data each (N= 2,230), the present study examined Big Five personality …","https://dspace.library.uu.nl/bitstream/handle/1874/358188/Big.pdf?sequence=1","https://scholar.google.com/scholar?q=related:spSH2bhA_s0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
220,"LJ Kray, L Howland, AG Russell…","The effects of implicit gender role theories on gender system justification: Fixed beliefs strengthen masculinity to preserve the status quo.",2017,"… of personality and social …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/112/1/98/","https://scholar.google.com/scholar?cites=12180711850398191767&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-08-22 15:47:17","","","","",,,,,220,36.67,55,4,6,"Abstract Four studies (n= 1199) tested support for the idea that implicit theories about the fixedness versus malleability of gender roles (entity vs. incremental theories) predict …","https://www.academia.edu/download/80849250/Kray_2017.pdf","https://scholar.google.com/scholar?q=related:lxBgSuSUCqkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
