"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8V962SL8","journalArticle","2017","Buil, J. Marieke; van Lier, Pol A. C.; Brendgen, Mara R.; Koot, Hans M.; Vitaro, Frank","Developmental pathways linking childhood temperament with antisocial behavior and substance use in adolescence: Explanatory mechanisms in the peer environment.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspp0000132","","This study investigated 3 developmental pathways involving the peer environment that may explain how certain temperamental dispositions in childhood may become manifested in later antisocial behavior and substance use. A total of 411 (52% boys) Canadian children were followed annually from ages 6 to 15 years. The study tested whether the temperamental traits approach, negative reactivity and attention (assessed at ages 6–7 years), were associated with overt antisocial behavior, covert antisocial behavior and illicit substance use (assessed at ages 14–15 years), via poor social preference among peers, inflated social self-perception and antisocial behavior of peer-group affiliates (assessed throughout ages 8–13 years). Results indicated that negative reactivity was indirectly associated with overt antisocial behavior and substance use via poor social preference. Specifically, negative reactivity in earlier childhood predicted poor social preference in later childhood and early adolescence. This poor social standing among peers, in turn, predicted more engagement in overt antisocial behavior but less substance use in later adolescence. Over and above the influence of social preference, negative reactivity predicted engagement in all 3 outcomes via children’s antisocial behavior in childhood and early adolescence. Inflated social self-perception and antisocial behavior of peer-group affiliates did not mediate the link between temperament and the outcomes under scrutiny. No sex differences in developmental pathways from temperament to the outcomes were found. To further our understanding of the developmental link between childhood temperament and later antisocial behavior and substance use, we need to recognize the role of peer environmental factors, specifically poor preference among peers. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2017","2023-10-08 20:11:10","2023-10-08 20:11:10","","948-966","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/PEZI9GXC/Buil et al. - 2017 - Developmental pathways linking childhood temperame.pdf","","*Antisocial Behavior; *Childhood Development; *Drug Usage; *Peers; *Personality; Adolescent Development; Social Influences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT96ZBFL","journalArticle","2017","Infurna, Frank J.; Luthar, Suniya S.","The multidimensional nature of resilience to spousal loss.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspp0000095","","Spousal loss can be one of the most devastating events to occur across one’s life, resulting in difficulties across different spheres of adjustment; yet, past research on resilience to bereavement has primarily focused on single adjustment indicators. We applied growth mixture modeling to data from 421 participants from the Household Income and Labour Dynamics of Australia Study who experienced spousal loss during the course of the study to examine (a) the extent to which individuals appear to be resilient across 3 indicators of subjective well-being—life satisfaction, negative affect, and positive affect, and 2 indicators of health—perceptions of general health and physical functioning—and (b) factors that might promote resilience. Approximately 66%, 19% and 26% individuals showed resilient trajectories, respectively, for life satisfaction, negative affect, and positive affect, whereas 37% and 28% showed resilience, respectively, for perceptions of general health and physical functioning. When we considered all 5 indicators simultaneously, only 8% showed “multidimensional” resilience, whereas 20% showed a non-resilient trajectory across all 5 indicators. The strongest predictors of resilient trajectories were continued engagement in everyday life activities and in social relationships, followed by anticipation that people would comfort them in times of distress. Overall, our findings demonstrate that resilience in the face of spousal bereavement is less common than previously thought. More importantly, they underscore the critical importance of multidimensional approaches while operationalizing doing well in the context of serious life adversities. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2017","2023-10-08 20:11:08","2023-10-08 20:11:08","","926-947","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/Q7BXMYXV/Infurna and Luthar - 2017 - The multidimensional nature of resilience to spousal loss..pdf","","*Bereavement; *Resilience (Psychological); *Spouses; *Stress; Adjustment; Well Being","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMUZRBKZ","journalArticle","2017","Kim, Emily; Cohen, Dov","Roads more and less traveled: Different emotional routes to creativity among Protestants and Catholics.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspp0000105","","Western culture has 2 contradictory images of creativity: the artist as intensely emotional versus the artist as sublimator, for whom work becomes the outlet for what is repressed and denied. We show that both images are correct, but that the routes to creativity are culturally patterned, such that Catholic creatives are relatively more likely to take the emotionally intense route and Protestant creatives relatively more likely to take the sublimating route. This pattern is consistent for both the Big-C creativity of historical eminents (Studies 1 and 1b) and small-c creativity of student samples (Studies 2 and 3). The student samples also highlighted the moderating role of Protestant asceticism, as Protestants who were high in asceticism and who also repressed or minimized troublesome emotions were particularly creative. Analyses of behavioral data in previous lab experiments (Studies 2b and 3b) provided conceptual validation of the findings reported in Studies 2 and 3. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2017","2023-10-08 20:11:05","2023-10-08 20:11:05","","901-925","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/RJ3RB883/Kim and Cohen - 2017 - Roads more and less traveled Different emotional .pdf","","*Asceticism; *Catholics; *Creativity; *Protestants; Cross Cultural Differences; Religion; Religious Beliefs; Sublimation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ599AI4","journalArticle","2017","Grover, Sarah S.; Ito, Tiffany A.; Park, Bernadette","The effects of gender composition on women’s experience in math work groups.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspi0000090","","The present studies tested a model outlining the effects of group gender composition on self- and others’ perceptions of women’s math ability in a truly interactive setting with groups composed entirely of naïve participants (N = 158 4-person groups across 3 studies). One woman in each group was designated to be the “expert” by having her complete a tutorial that gave her task-relevant knowledge for a subsequent group task. Group gender composition was hypothesized to influence perceptions of women’s math ability through intrapersonal processes (stereotype threat effects on performance) and interpersonal processes (social cohesion between the expert and other group members). Group composition affected the experts’ performance in the group math task, but importantly, it also affected their social cohesion with group members. Moreover, both of these effects—lowered performance and poorer social cohesion in male-dominated groups—made independent contributions in accounting for group gender composition effects on perceptions of women’s math ability (Studies 1 and 2). Boundary conditions were examined in a 3rd study. Women who had a history of excelling in math and had chosen a math-intensive STEM major were selected to be the designated experts. We predicted and found this would be sufficient to eliminate the effect of group gender composition on interpersonal processes, and correspondingly the effect on women’s perceived math ability. Interestingly (and consistent with past work on stereotype threat effects among highly domain-identified individuals), there were continued performance differences indicative of effects on intrapersonal processes. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","2017","2023-10-08 20:11:02","2023-10-08 20:11:02","","877-900","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/CI6EY88U/Grover et al. - 2017 - The effects of gender composition on women’s experience in math work groups..pdf","","*Group Identity; *Mathematical Ability; *Self-Concept; *Social Cohesion; *STEM; Group Cohesion; Human Females; Human Sex Differences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLV82KZ3","journalArticle","2017","Touré-Tillery, Maferima; Fishbach, Ayelet","Too far to help: The effect of perceived distance on the expected impact and likelihood of charitable action.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspi0000089","","Fact: Holding force constant, a snowball thrown from 10 feet away will hurt more than one thrown from 50 feet away; it will have more impact. We show that people expect charitable donations—much like snowballs—to have more impact on nearby (vs. faraway) targets. Therefore, because making an impact is a powerful motivator of prosocial behavior, people are more willing to take action to help nearby (vs. faraway) causes—independent of social distance. Six studies, including lab and field experiments, and secondary data from fundraising campaigns support this prediction. Specifically, Study 1 shows that people expect charitable donations to have a greater impact on nearby (vs. faraway) recipients, and that these judgments stem from metaphorical thinking. In the context of alumni giving to their alma mater, the next two studies show that donations increase as real (Study 2) or perceived (Study 3) distances decrease. Study 4 extends these findings using a more conservative manipulation of distance perception (Study 4). Finally, Study 5 demonstrates the mediating role of expected impact on the effect of perceived distance on charitable action, whereas Study 6 shows that a motivational focus on making an impact moderates this effect. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2017","2023-10-08 20:11:00","2023-10-08 20:11:00","","860-876","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/2XHFMI7D/Touré-Tillery and Fishbach - 2017 - Too far to help The effect of perceived distance on the expected impact and likelihood of charitabl.pdf","","*Charitable Behavior; *Motivation; *Prosocial Behavior; Metaphor; Thinking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8P4WBVB","journalArticle","2017","Eastwick, Paul W.; Harden, K. Paige; Shukusky, Jennifer A.; Morgan, Taylor Anne; Joel, Samantha","Consistency and inconsistency among romantic partners over time.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspi0000087","","Theoretical perspectives on mating differentially emphasize whether (and why) romantic partner selection and maintenance processes derive from stable features of individuals (e.g., mate value, mate preferences, relationship aptitude) and their environments (e.g., social homogamy) rather than adventitious, dyad-specific, or unpredictable factors. The current article advances our understanding of this issue by assessing how people’s actual romantic partners vary on constructs commonly assessed in evolutionary psychology (Study 1), sociology (Study 2), and close relationships (Study 3). Specifically, we calculated the extent to which the past and present partners of a focal person (i.e., the person who dated all of the partners) cluster on various measures. Study 1 investigated consistency in the observable qualities of the romantic partners, revealing substantial evidence for clustering on coder-rated attributes like attractiveness and masculinity. Study 2 examined qualities self-reported by romantic partners themselves in a demographically diverse sample and found modest evidence for clustering on attributes such as IQ and educational aspirations; however, clustering in this study was largely due to demographic stratification. Study 3 explored target-specific ratings by partners about the focal person and found little evidence for clustering: The ability to elicit high romantic desirability/sexual satisfaction ratings from partners was not a stable individual difference. The variables that affect mating may differ considerably in the extent to which they serve as stable versus unpredictable factors; thus, the fields of evolutionary psychology, sociology, and close relationships may reveal distinct depictions of mating because the constructs and assessment strategies in each differ along this underappreciated dimension. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2017","2023-10-08 20:10:57","2023-10-08 20:10:57","","838-859","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/NI4FX3T4/2016-59114-001.pdf; /Users/SchoolAccount/Zotero/storage/9BWZZP7W/Eastwick et al. - 2017 - Consistency and inconsistency among romantic partn.pdf","","*Human Mate Selection; *Interpersonal Relationships; *Romance; Consistency (Measurement); Interpersonal Attraction; Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9NN8X6T8","journalArticle","2017","Huang, Szu-chi; Etkin, Jordan; Jin, Liyin","How winning changes motivation in multiphase competitions.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspa0000082","","What drives motivation in multiphase competitions? Adopting a dynamic approach, this research examines how temporary standing—being ahead of (vs. behind) one’s opponent—in a multiphase competition shapes subsequent motivation. Six competitions conducted in the lab and in the field demonstrate that the impact of being ahead on contestants’ motivation depends on when (i.e., in which phase of the competition) contestants learn they are in the lead. In the early phase, contestants are concerned about whether they can win; being ahead increases motivation by making winning seem more attainable. In the later phase, however, contestants are instead driven by how much additional effort they believe they need to invest; being ahead decreases motivation by reducing contestants’ estimate of the remaining effort needed to win. Temporary standing thus has divergent effects on motivation in multiphase competitions, driven by a shift in contestants’ main concern from the early to the later phase and thus the meaning they derive from being ahead of their opponent. By leveraging insights gained from approaching individuals’ self-regulation as a dynamic process, this research advances understanding of how motivation evolves in a unique interdependent self-regulatory context. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","2017","2023-10-08 20:10:54","2023-10-08 20:10:54","","813-837","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/HQ77QC3H/Huang et al. - 2017 - How winning changes motivation in multiphase competitions..pdf","","*Motivation; *Competition; Self-Regulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQMSNVA7","journalArticle","2017","Carr, Evan W.; Huber, David E.; Pecher, Diane; Zeelenberg, Rene; Halberstadt, Jamin; Winkielman, Piotr","The ugliness-in-averageness effect: Tempering the warm glow of familiarity.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspa0000083","","Mere exposure (i.e., stimulus repetition) and blending (i.e., stimulus averaging) are classic ways to increase social preferences, including facial attractiveness. In both effects, increases in preference involve enhanced familiarity. Prominent memory theories assume that familiarity depends on a match between the target and similar items in memory. These theories predict that when individual items are weakly learned, their blends (morphs) should be relatively familiar, and thus liked—a beauty-in-averageness effect (BiA). However, when individual items are strongly learned, they are also more distinguishable. This “differentiation” hypothesis predicts that with strongly encoded items, familiarity (and thus, preference) for the blend will be relatively lower than individual items—an ugliness-in-averageness effect (UiA). We tested this novel theoretical prediction in 5 experiments. Experiment 1 showed that with weak learning, facial morphs were more attractive than contributing individuals (BiA effect). Experiments 2A and 2B demonstrated that when participants first strongly learned a subset of individual faces (either in a face-name memory task or perceptual-tracking task), morphs of trained individuals were less attractive than the trained individuals (UiA effect). Experiment 3 showed that changes in familiarity for the trained morph (rather than interstimulus conflict) drove the UiA effect. Using a within-subjects design, Experiment 4 mapped out the transition from BiA to UiA solely as a function of memory training. Finally, computational modeling using a well-known memory framework (REM) illustrated the familiarity transition observed in Experiment 4. Overall, these results highlight how memory processes illuminate classic and modern social preference phenomena. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2017","2023-10-08 20:10:49","2023-10-08 20:10:49","","787-812","","6","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/8QFU38EY/Carr et al. - 2017 - The ugliness-in-averageness effect Tempering the .pdf","","*Familiarity; *Memory; *Physical Attractiveness; Preferences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7MK6RF4","journalArticle","2017","No authorship indicated","“Healthier than thou? ‘Practicing what you preach’ backfires by increasing anticipated devaluation”: Correction to Howe and Monin (2017).","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspi0000101","","Reports an error in ""Healthier Than Thou? “Practicing What You Preach” Backfires by Increasing Anticipated Devaluation"" by Lauren C. Howe and Benoît Monin (Journal of Personality and Social Psychology, Advanced Online Publication, Feb 27, 2017, np). In the article, the beginning phrase of the second paragraph of the Internal Meta-Analysis of Studies 3 Through 5 section is incorrect. It should instead begin as follows: Across the three studies. The Monin et al. (2014) reference in both the References list and in text is included in error. The correct citation should read as follows: Monin, B., & Oppenheimer, D. M. (2014). The limits of direct replications and the virtues of stimulus sampling: Commentary on Klein et al., 2014. Social Psychology, 45, 299–300. (The following abstract of the original article appeared in record 2017-08697-001.) Should experts always practice what they preach? When an expert displays exemplary behavior, individuals who fear negative devaluation sometimes anticipate that this expert will look down on them. As a result, displays of excellence can paradoxically turn off the very people they are trying to inspire. Five studies document this in the medical domain, showing that individuals who are overweight or obese and concerned about their weight avoid physicians who advertise their fitness, for fear that these doctors will judge them negatively. People (erroneously) believe that doctors have healthier habits than other individuals (Study 1), doctors advertise healthy habits (Study 2), and overweight individuals anticipate devaluation from, and thus avoid and feel less comfortable with, doctors who portray themselves as fitness-focused (Study 3). Studies 4 and 5 test strategies for physicians to emphasize their own fitness without turning off weight-sensitive patients. This work demonstrates that it is critical to take into account ego-defensive processes when attempting to lead by example. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","2017","2023-10-08 20:08:43","2023-10-08 20:08:43","","735-735","","5","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/WDSCGKX3/No authorship indicated - 2017 - “Healthier than thou ‘Practicing what you preach’ backfires by increasing anticipated devaluation”.pdf","","*Body Weight; *Experience Level; *Health; *Health Attitudes; *Physicians; Health Personnel Attitudes; Threat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8DIEXPT","journalArticle","2017","Twenge, Jean M.; Carter, Nathan T.; Campbell, W. Keith","Age, time period, and birth cohort differences in self-esteem: Reexamining a cohort-sequential longitudinal study.","Journal of Personality and Social Psychology","","1939-1315(Electronic),0022-3514(Print)","10.1037/pspp0000122","","Orth, Trzesniewski, and Robins (2010) concluded that the nationally representative Americans’ Changing Lives (ACL) cohort-sequential study demonstrated moderate to large age differences in self-esteem, and no birth cohort (generational) differences in the age trajectory. In a reanalysis of these data using 2 different statistical techniques, we find significant increases in self-esteem that could be attributed to birth cohort or time period. First, hierarchical linear modeling analyses with birth cohort as a continuous variable (vs. the multiple group formulation used by Orth et al.) find that birth cohort has a measurable influence on self-esteem through its interaction with age. Participants born in later years (e.g., 1960) were higher in self-esteem and were more likely to increase in self-esteem as they aged than participants born in earlier years (e.g., 1920). However, the estimated age trajectory up to age 60 is similar in Orth et al.’s results and in the results from our analyses including cohort. Second, comparing ACL respondents of the same age in 1986 versus 2002 (a time-lag design) yields significant birth cohort differences in self-esteem, with 2002 participants of the same age higher in self-esteem than those in 1986. Combined with some previous studies finding significant increases in self-esteem and positive self-views over time, these results suggest that cultural change in the form of cohort and time period cannot be ignored as influences in cross-sectional and longitudinal studies. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2017","2023-10-08 20:08:40","2023-10-08 20:08:40","","e9-e17","","5","112","","","","","","","","","","","","","","","","","Place: US Publisher: American Psychological Association","","/Users/SchoolAccount/Zotero/storage/JAYDE6FX/Twenge et al. - 2017 - Age, time period, and birth cohort differences in self-esteem Reexamining a cohort-sequential longi.pdf","","Time; *Age Differences; *Self-Esteem; Birth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
