"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"32HXRAK9","journalArticle","2022","Busseri, Michael A.","The global belief that “life gets better and better”: National differences in recollected past, present, and anticipated future life satisfaction around the world, across time, and in relation to societal functioning.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspp0000415","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000415","National-level differences in individuals’ ratings of their recollected past, current, and anticipated future life satisfaction (LS) were examined using results from two pioneering projects comprising national-level results for 14 countries (Cantril, 1965) and 15 regions of the world (Gallup International Research Institutes & Charles F. Kettering Foundation, 1976; Study 1), as well as sequential results from the Gallup World Poll based on 137 countries representing a broad range of nations from around the world surveyed from 2005 to 2018 (Study 2). Results from both studies revealed a robust belief that “life gets better” over time (i.e., recollected past < current < anticipated future LS) in nations around the world. Such beliefs were examined in relation to objective and subjective indicators of societal-level functioning. Results replicated across studies in showing that nations with less positive societal functioning and prosperity were characterized by less recollected past improvements in LS, and yet greater anticipated future improvements in LS. Results from Study 2 also revealed that such expectations were positively biased compared to changes over time in national levels of LS; further, greater bias was related to less positive societal-level functioning. In conclusion, examining national-level differences in LS from a subjective temporal perspective provides valuable new insights concerning human development and prosperity across countries, over time, and around the world.","2022-07","2023-12-01 15:35:40","2023-12-01 15:35:41","2023-12-01 15:35:40","223-247","","1","123","","Journal of Personality and Social Psychology","The global belief that “life gets better and better”","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/BR4DKTHM/Busseri - 2022 - The global belief that “life gets better and bette.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGDZCHQC","journalArticle","2022","Soto, Christopher J.; Napolitano, Christopher M.; Sewell, Madison N.; Yoon, Hee J.; Roberts, Brent W.","An integrative framework for conceptualizing and assessing social, emotional, and behavioral skills: The BESSI.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspp0000401","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000401","People differ in their social, emotional, and behavioral (SEB) skills: their capacities to maintain social relationships, regulate emotions, and manage goal- and learning-directed behaviors. In ﬁve studies using data from seven independent samples (N = 6,309), we address three key questions about the nature, structure, assessment, and outcomes of SEB skills. First, how can SEB skills be deﬁned and distinguished from other kinds of psychological constructs, such as personality traits? We propose that SEB skills represent how someone is capable of thinking, feeling, and behaving when the situation calls for it, whereas traits represent how someone tends to think, feel, and behave averaged across situations. Second, how can speciﬁc SEB skills be organized within broader domains? We ﬁnd that many skill facets can be organized within ﬁve major domains representing Social Engagement, Cooperation, SelfManagement, Emotional Resilience, and Innovation Skills. Third, how should SEB skills be measured? We develop and validate the Behavioral, Emotional, and Social Skills Inventory (BESSI) to measure individuals’ capacity to enact speciﬁc behaviors representing 32 skill facets. We then use the BESSI to investigate the nomological network of SEB skills. We show that both skill domains and facets converge in conceptually meaningful ways with socioemotional competencies, character and developmental strengths, and personality traits, and predict consequential outcomes including academic achievement and engagement, occupational interests, social relationships, and well-being. We believe that this work provides the most comprehensive model currently available for conceptualizing SEB skills, as well as the most psychometrically robust tool available for assessing them.","2022-07","2023-12-01 15:35:43","2023-12-01 15:35:44","2023-12-01 15:35:43","192-222","","1","123","","Journal of Personality and Social Psychology","An integrative framework for conceptualizing and assessing social, emotional, and behavioral skills","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/TKLGJI47/Soto et al. - 2022 - An integrative framework for conceptualizing and a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W84657ZX","journalArticle","2022","Lefebvre, Jean Paul; Sadler, Pamela; Hall, Ailill; Woody, Erik","The interpersonal nature of self-talk: Variations across individuals and occasions.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspp0000405","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000405","This research addressed the hypothesis that self-talk conveys a variety of interpersonal styles, representing different ways of addressing oneself, and that these different styles can be conceptualized with the interpersonal circumplex. Using a diary-like method for 14 days, 232 undergraduates were asked, toward the end of each day, to reﬂect on one positive and one negative event from that day and write down their selftalk about each. Using an instrument based on the interpersonal circumplex, participants and later independent judges rated the interpersonal qualities of each self-talk statement. Ratings showed a reasonably high degree of consistency over days, and averages over days for each participant showed reasonably good circumplex structure, consistent with an interpersonal conception of self-talk style. Multilevel modeling revealed that the interpersonal qualities of self-talk also showed substantial variance at the occasion level. There were synergistic interactions of self-talk dominance and afﬁliation in the prediction of post-self-talk affect, with higher positive and lower negative affect following self-talk that was relatively high in both dominance and afﬁliation. Conceptualizing self-talk styles in terms of the interpersonal circumplex offers a promising framework for further research on inner experience and its effects.","2022-07","2023-12-01 15:35:46","2023-12-01 15:35:47","2023-12-01 15:35:46","174-191","","1","123","","Journal of Personality and Social Psychology","The interpersonal nature of self-talk","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/UZTWJFLQ/Lefebvre et al. - 2022 - The interpersonal nature of self-talk Variations .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ISI9FDU","journalArticle","2022","Bergh, Robin; Brandt, Mark J.","Mapping principal dimensions of prejudice in the United States.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspi0000360","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspi0000360","Research is often guided by maps of elementary dimensions, such as core traits, foundations of morality, and principal stereotype dimensions. Yet, there is no comprehensive map of prejudice dimensions. A major limiter of developing a prejudice map is the ad hoc sampling of target groups. We used a broad and largely theory-agnostic selection of groups to derive a map of principal dimensions of expressed prejudice in contemporary American society. Across a series of exploratory and confirmatory studies, we found three principal factors: Prejudice against marginalized groups, prejudice against privileged/ conservative groups, and prejudice against unconventional groups (with some inverse loadings for conservative groups). We documented distinct correlates for each factor, in terms of social identifications, perceived threats, personality, and behavioral manifestations. We discuss how the current map integrates several lines of research, and point to novel and underexplored insights about prejudice.","2022-07","2023-12-01 15:35:49","2023-12-01 15:35:50","2023-12-01 15:35:49","154-173","","1","123","","Journal of Personality and Social Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/3GSPJF2C/Bergh and Brandt - 2022 - Mapping principal dimensions of prejudice in the U.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8BVDPVY","journalArticle","2022","Schäfer, Sarina J.; Simsek, Müge; Jaspers, Eva; Kros, Mathijs; Hewstone, Miles; Schmid, Katharina; Fell, Benjamin F.; Dorrough, Angela R.; Glöckner, Andreas; Christ, Oliver","Dynamic contact effects: Individuals’ positive and negative contact history influences intergroup contact effects in a behavioral game.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspi0000374","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspi0000374","Positive contact between members of different groups reduces prejudice and increases cooperation, ﬁndings known as intergroup contact effects. Yet in real-world settings not only positive, but also negative intergroup contact occurs, which have opposing effects. To date little is known about whether and how an individual’s valenced history of intergroup contact inﬂuences contact effects and how this dynamic change happens during speciﬁc instances of intergroup contact. A pilot study examined the psychological impact of a novel paradigm to assess intergroup contact using a behavioral game. We then conducted two studies, which allowed us to observe a sequence of up to 23 in- and outgroup interactions and their behavioral outcomes in a continuous prisoner’s dilemma behavioral game (N = 116, 2,668 interactions; N = 89, 1,513 interactions). As expected, participants showed a clear ingroup bias in expectations and cooperation. Furthermore, the quality of contact history moderated contact effects. Speciﬁcally, intergroup contact following a positive history of intergroup contact had a stronger effect on intergroup expectations than contact following a negative history thereof. Findings are discussed in view of the importance of considering the valenced history of intergroup contact, as well as new research questions on intergroup contact that can be addressed with this novel contact paradigm.","2022-07","2023-12-01 15:35:56","2023-12-01 15:35:56","2023-12-01 15:35:56","107-122","","1","123","","Journal of Personality and Social Psychology","Dynamic contact effects","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/RXVNVTPX/Schäfer et al. - 2022 - Dynamic contact effects Individuals’ positive and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JF5UNN7I","journalArticle","2022","Don, Brian P.; Eller, Jami; Simpson, Jeffry A.; Fredrickson, Barbara L.; Algoe, Sara B.; Rholes, W. Steven; Mickelson, Kristin D.","New parental positivity: The role of positive emotions in promoting relational adjustment during the transition to parenthood.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspi0000371","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspi0000371","This document is copyrighted by the American Psychological Association or one of its allied publishers. This article is intended solely for the personal use of the individual user and is not to be disseminated broadly. The transition to parenthood can be a challenging time for new parent couples, as a baby comes with changes and stress that can negatively inﬂuence new parents’ relational functioning in the form of reduced relationship satisfaction and disrupted partner social support. Yet, the transition to parenthood is also often experienced as a joyous time. In this research, we draw on the broaden-and-build theory of positive emotions to suggest that new parents’ positive emotions are not merely an enjoyable distraction, but are instead central to their relational adjustment. Speciﬁcally, we hypothesized that new parents who experienced greater positive emotions would report enhanced relationship satisfaction and partner social support across time. To test these ideas, we drew on two dyadic and longitudinal studies of new parents. In Study 1, 104 couples (208 individuals) completed surveys across the course of 1 year, and in Study 2, 192 couples (384 individuals) completed surveys and a laboratory-based social support interaction over the course of 2 years. At each wave of data collection, participants completed assessments of positive emotions, relationship satisfaction, and partner social support. We examined how actor and partner positive emotions longitudinally predicted relational adjustment across time. Results demonstrated that, even when controlling for baseline levels of each outcome variable, greater actor reports of positive emotions prospectively predicted greater subsequent actor (a) relationship satisfaction, (b) perceptions of social support from the partner, and (c) enacted social support as rated by independent observers, a pattern that was especially prominent for fathers. These results suggest positive emotions may be a resource that fosters healthy relational adjustment during chronically stressful periods that threaten intimate relationships, including during the transition to parenthood.","2022-07","2023-12-01 15:36:00","2023-12-01 15:36:01","2023-12-01 15:36:00","84-106","","1","123","","Journal of Personality and Social Psychology","New parental positivity","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/IDSW8GLV/Don et al. - 2022 - New parental positivity The role of positive emot.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GIZKMXU","journalArticle","2022","Boecker, Lea; Loschelder, David D.; Topolinski, Sascha","How individuals react emotionally to others’ (mis)fortunes: A social comparison framework.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspa0000299","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspa0000299","When confronted with others’ fortunes and misfortunes, emotional reactions can take various forms—ranging from assimilative (happy-for-ness, sympathy) to contrastive emotions (envy, schadenfreude) and from prosocial (reward) to antisocial behavior (punish). We systematically tested how social comparisons shape reactions to others’ (mis)fortunes with a newly developed paradigm with which we investigated envy, happyfor-ness, schadenfreude, and sympathy in a joint rigorous experimental setup, along with individuals’ ensuing behavioral reactions. In nine experiments (Ntotal = 1,827), (a) participants’ rankings on a comparison dimension relative to other people and (b) others’ (mis)fortunes (changes in relative rankings) jointly determined how much individuals experienced the emotions. Upward comparisons increased envy and schadenfreude, and downward comparisons increased sympathy and happy-for-ness, relative to lateral comparisons. When the relevance of comparison standards (Experiment 4a) or the comparison domain (Experiment 4b) was low, or when participants did not have their own reference point for comparison (Experiment 4c), the effect of comparison direction on emotions was attenuated. Emotions also predicted the ensuing behavior: Envy and schadenfreude predicted less, whereas happy-for-ness and sympathy predicted more prosocial behavior (Experiments 5 and 6). Overall, the strongest social comparison effects occurred for envy and sympathy, followed by schadenfreude and happy-for-ness. The data suggest that envy and sympathy arise when comparative concerns are threatened, and happy-for-ness and schadenfreude arise when they are satisﬁed (because inequality increases vs. decreases, respectively) and predict behavior aimed at dealing with these concerns. We discuss implications for the function of fortunes-of-others emotions, social comparison theory, inequity aversion, and prospect theory.","2022-07","2023-12-01 15:36:03","2023-12-01 15:36:03","2023-12-01 15:36:03","55-83","","1","123","","Journal of Personality and Social Psychology","How individuals react emotionally to others’ (mis)fortunes","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/VNAKWX3Z/Boecker et al. - 2022 - How individuals react emotionally to others’ (mis).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4HCUYZI","journalArticle","2022","Hafenbrack, Andrew C.; LaPalme, Matthew L.; Solal, Isabelle","Mindfulness meditation reduces guilt and prosocial reparation.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspa0000298","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspa0000298","The present research investigates whether and how mindfulness meditation inﬂuences the guilt-driven tendency to repair harm caused to others. Through a series of eight experiments (N > 1,400), we demonstrate that state mindfulness cultivated via focused-breathing meditation can dampen the relationship between transgressions and the desire to engage in reparative prosocial behaviors. Experiment 1 showed that induced state mindfulness reduced state guilt. Experiments 2a–2c found that induced state mindfulness reduced the willingness to engage in reparative behaviors in normally guilt-inducing situations. Experiments 3a and 3b found that guilt mediated the negative effect of mindfulness meditation on prosocial reparation. Experiment 4 demonstrated that induced state mindfulness weakened the link between a transgression and reparative behavior, as well as documented the mediating role of guilt over and above other emotions. Finally, in Experiment 5, we found that loving kindness meditation led to signiﬁcantly more prosocial reparation than focused-breathing meditation, mediated by increased other-focus and feelings of love. We discuss theoretical and practical implications.","2022-07","2023-12-01 15:36:05","2023-12-01 15:36:05","2023-12-01 15:36:05","28-54","","1","123","","Journal of Personality and Social Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/XJGCLEB7/Hafenbrack et al. - 2022 - Mindfulness meditation reduces guilt and prosocial.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EAZQYY47","journalArticle","2022","Maitner, Angela T.; Summerville, Amy","“What was meant to be” versus “what might have been”: Effects of culture and control on counterfactual thinking.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspa0000295","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspa0000295","Counterfactual thinking is a ubiquitous feature of daily life with links to causal reasoning. Therefore, we argue that cultures that vary in perceptions of what controls important life outcomes may also vary in counterfactual thought. Investigating White American and United Arab Emirates-based Arab participants’ counterfactual potency and spontaneous counterfactual thinking, we found that Arab participants endorsed counterfactual thoughts less than White Americans, and were unaffected by the routine nature of action when negative outcomes were severe. Differences in counterfactual endorsement in response to severe negative outcomes were linked to greater beliefs in divine control and fate in Arab participants, and not to religiosity, reinforcing an important role of perceptions of control in counterfactual thought. However, although reporting less counterfactual endorsement overall, Arabs showed a similar pattern of counterfactual thought to White Americans when negative outcomes were mild, or when reporting spontaneous thought. Arabs likewise showed a similar pattern of regret as White Americans regardless of event severity, reporting more regret when outcomes resulted from unusual action. These patterns suggest a dissociation between affect and cognition, and between what kind of outcomes are subject to counterfactual scrutiny in Arab participants.","2022-07","2023-12-01 15:36:07","2023-12-01 15:36:08","2023-12-01 15:36:07","1-27","","1","123","","Journal of Personality and Social Psychology","“What was meant to be” versus “what might have been”","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/5Q82VUMI/Maitner and Summerville - 2022 - “What was meant to be” versus “what might have bee.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RA897T8A","journalArticle","2022","Hyatt, Courtland S.; Sharpe, Brinkley M.; Owens, Max M.; Listyg, Benjamin S.; Carter, Nathan T.; Lynam, Donald R.; Miller, Joshua D.","Searching high and low for meaningful and replicable morphometric correlates of personality.","Journal of Personality and Social Psychology","","1939-1315, 0022-3514","10.1037/pspp0000402","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000402","Recent personality neuroscience research in large samples suggests that personality traits tend to bear nullto-small relations to morphometric (i.e., brain structure) regions of interest (ROIs). In this preregistered, two-part study using Human Connectome Project data (N = 1,105), we address the possibility that these null-to-small relations are due, in part, to the “level” (i.e., hierarchical placement) of personality and/or morphometry examined. We used a Five-Factor Model framework and operationalized personality in terms of meta-traits, domains, facets, and items; we operationalized morphometry in terms of omnibus measures (e.g., total brain volume), and cortical thickness and area in the ROIs of the Desikan and Destrieux atlases. First, we compared the patterns of effect sizes observed between these levels using mixed effects modeling. Second, we used a machine learning framework for estimating out-of-sample predictability. Results highlight that personality–morphometry relations are generally null-to-small no matter how they are operationalized. Relatively, the largest mean effect sizes were observed at the domain level of personality, but the largest individual effect sizes were observed at the facet and item level, particularly for the Ideas facet of Openness and its constituent items. The largest effect sizes observed were at the omnibus level of morphometry, and predictive models containing only omnibus variables were comparably predictive to models including both omnibus variable and ROIs. We conclude by encouraging researchers to search across levels of analysis when investigating relations between personality and morphometry and consider prioritizing omnibus measures, which appear to yield the largest and most consistent effects.","2022-08","2023-12-01 15:36:10","2023-12-01 15:36:10","2023-12-01 15:36:10","463-480","","2","123","","Journal of Personality and Social Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/X9WZ23PD/Hyatt et al. - 2022 - Searching high and low for meaningful and replicab.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
