"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HR7YCHUK","journalArticle","2019","Feinberg, Matthew; Fang, Ray; Liu, Shi; Peng, Kaiping","A World of Blame to Go Around: Cross-Cultural Determinants of Responsibility and Punishment Judgments","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218794631","http://journals.sagepub.com/doi/10.1177/0146167218794631","Research finds collectivists make external attributions for others’ behavior, whereas individualists make internal attributions. By focusing on external causes, collectivists should be less punitive toward those who harm others. Yet, many collectivistic cultures are known for strict retributive justice systems. How can collectivists simultaneously make external attributions and punish so harshly? We hypothesized that unlike individualists whose analytic tendencies engender a focus on mental states where judgments of accountability stem from perceptions of a harm-doer’s agency, collectivists’ holistic cognitive tendencies engender a focus on social harmony where judgments of accountability stem from perceived social consequences of the harmful act. Thus, what leads collectivists to make external attributions for behavior also leads to harsh punishment of those harming the collective welfare. Four cross-cultural studies found evidence that perceptions of a target’s agency more strongly predicted responsibility and punishment judgments for individualists, whereas perceived severity of the harm was stronger for collectivists.","2019-04","2023-11-02 03:22:30","2023-11-03 16:37:36","2023-11-02 03:22:30","634-651","","4","45","","Pers Soc Psychol Bull","A World of Blame to Go Around","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/72PZT5L8/Feinberg et al. - 2019 - A World of Blame to Go Around Cross-Cultural Dete.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5V2ZXFVN","journalArticle","2019","Batruch, Anatolia; Autin, Frédérique; Bataillard, Fabienne; Butera, Fabrizio","School Selection and the Social Class Divide: How Tracking Contributes to the Reproduction of Inequalities","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218791804","http://journals.sagepub.com/doi/10.1177/0146167218791804","Selection practices in education, such as tracking, may represent a structural obstacle that contributes to the social class achievement gap. We hypothesized that school’s function of selection leads evaluators to reproduce social inequalities in tracking decisions, even when performance is equal. In two studies, participants (students playing the role of teachers, N = 99, or preservice and in-service teachers, N = 70) decided which school track was suitable for a pupil whose socioeconomic status (SES) was manipulated. Although pupils’ achievement was identical, participants considered a lower track more suitable for lower SES than higher SES pupils, and the higher track more suitable for higher SES than lower SES pupils. A third study (N = 160) revealed that when the selection function of school was salient, rather than its educational function, the gap in tracking between social classes was larger. The selection function of tracking appears to encourage evaluators to artificially create social class inequalities.","2019-03","2023-11-02 03:22:43","2023-11-03 16:36:55","2023-11-02 03:22:43","477-490","","3","45","","Pers Soc Psychol Bull","School Selection and the Social Class Divide","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/T3H4FPNJ/Batruch et al. - 2019 - School Selection and the Social Class Divide How .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PMMHKT8","journalArticle","2019","Hasan-Aslih, Siwar; Pliskin, Ruthie; Van Zomeren, Martijn; Halperin, Eran; Saguy, Tamar","A Darker Side of Hope: Harmony-Focused Hope Decreases Collective Action Intentions Among the Disadvantaged","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218783190","http://journals.sagepub.com/doi/10.1177/0146167218783190","Hope is viewed as a positive emotion associated with the motivation to change existing conditions. As such, it is highly relevant for social change, particularly when considering disadvantaged groups. We propose that, in the context of unequal intergroup relations, hope may actually undermine motivation for change among disadvantaged group members. Specifically, we distinguish between hope targeted at harmony with the outgroup and hope targeted at social equality between groups. Drawing on insights regarding the consequences of positive intergroup interactions, we predict that hope for harmony with the outgroup can undermine the constructive tension that motivates the disadvantaged toward equality. Across four studies, involving different intergroup contexts, hope for harmony was negatively associated with disadvantaged group members’ motivation for collective action. We further found that high identifiers from the disadvantaged group were immune to this effect. We discuss theoretical and practical implications for the role of hope in social change.","2019-02","2023-11-02 03:23:32","2023-11-03 16:34:29","2023-11-02 03:23:32","209-223","","2","45","","Pers Soc Psychol Bull","A Darker Side of Hope","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/44KCGKZZ/Hasan-Aslih et al. - 2019 - A Darker Side of Hope Harmony-Focused Hope Decrea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YRR3XRD","journalArticle","2019","Bernard, Philippe; Hanoteau, Florence; Gervais, Sarah; Servais, Lara; Bertolone, Irene; Deltenre, Paul; Colin, Cécile","Revealing Clothing Does Not Make the Object: ERP Evidences That Cognitive Objectification is Driven by Posture Suggestiveness, Not by Revealing Clothing","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218775690","http://journals.sagepub.com/doi/10.1177/0146167218775690","Recent research found that sexualized bodies are visually processed similarly to objects. This article examines the effects of skin-to-clothing ratio and posture suggestiveness on cognitive objectification. Participants were presented images of upright versus inverted bodies while we recorded the N170. We used the N170 amplitude inversion effect (larger N170 amplitudes for inverted vs. upright stimuli) to assess cognitive objectification, with no N170 inversion effect indicating less configural processing and more cognitive objectification. Contrary to Hypothesis 1, skin-to-clothing ratio was not associated with cognitive objectification (Experiments 1-3). However, consistent with Hypothesis 2, we found that posture suggestiveness was the key driver of cognitive objectification (Experiment 2), even after controlling for body asymmetry (Experiment 3). This article showed that high (vs. low) posture suggestiveness caused cognitive objectification (regardless of body asymmetry), whereas high (vs. low) skin-to-clothing ratio did not. The implications for objectification and body perception literatures are discussed.","2019-01","2023-11-02 03:23:51","2023-11-03 16:36:33","2023-11-02 03:23:51","16-36","","1","45","","Pers Soc Psychol Bull","Revealing Clothing Does Not Make the Object","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/S9Z79R5E/Bernard et al. - 2019 - Revealing Clothing Does Not Make the Object ERP E.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4URCF5Z","journalArticle","2019","Heintzelman, Samantha J.; King, Laura A.","Routines and Meaning in Life","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218795133","http://journals.sagepub.com/doi/10.1177/0146167218795133","Previous research links the experience of meaning in life (MIL) with environmental structure and the coherence of external stimuli. The current studies directly test the association between one source of structure in everyday life—routines—and MIL. First, Study 1 (N = 317) found a positive relationship between trait preference for routine and MIL. Study 2 expanded upon this cross-sectional finding with experience sampling data (N = 85; 2,590 episodes) showing that the degree to which current, naturally occurring, behavior followed a typical routine positively related to participants’ momentary feelings of MIL. These findings have implications for conceptualizations of MIL, suggesting a previously unnoted, mundane, and ubiquitous source of MIL. The potential roles of boredom and novelty and individual and situational differences for these effects are discussed.","2019-05","2023-11-02 03:37:14","2023-11-03 16:36:39","2023-11-02 03:37:14","688-699","","5","45","","Pers Soc Psychol Bull","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/2KKWHAMD/Heintzelman and King - 2019 - Routines and Meaning in Life.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37X3K564","journalArticle","","Lange, Jens; Redford, Liz; Crusius, Jan","A Status-Seeking Account of Psychological Entitlement","Personality and Social Psychology Bulletin","","","","","We propose that people high in entitlement are characterized by motivation to attain status. Five studies (total N = 2,372) support that entitlement promotes motivation to seek status. This motivation, in turn, relates to affective processes when facing upward comparisons and contributes to status attainment. Specifically, entitlement fostered prestige and dominance motivation. These, in turn, predicted greater benign and malicious envy, respectively, when encountering high-status others. The indirect effects occurred when entitlement was measured (Studies 1A and 1B) and manipulated (Studies 2A and 2B). Finally, entitlement related to status attainment, yet not always in line with more entitled people’s motivation. Although they ascribed themselves both more prestige and dominance, others ascribed them only more dominance, yet less prestige (Studies 3A, 3B, and 3C). These findings suggest that a status-seeking account offers important insights into the complexities of entitled behavior and its social consequences.","","2023-11-02 03:38:23","2023-11-03 16:37:31","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/SchoolAccount/Zotero/storage/99SVMVIT/Lange et al. - A Status-Seeking Account of Psychological Entitlem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DE6UKZGD","journalArticle","","Chester, David S; DeWall, C Nathan; Enjaian, Brian","Sadism and Aggressive Behavior: Inflicting Pain to Feel Pleasure","Personality and Social Psychology Bulletin","","","","","Sadism is a “dark” trait that involves the experience of pleasure from others’ pain, yet much is unknown about its link to aggression. Across eight studies (total N = 2,255), sadism predicted greater aggression against both innocent targets and provocateurs. These associations occurred above-and-beyond general aggressiveness, impulsivity, and other “dark” traits. Sadism was associated with greater positive affect during aggression, which accounted for much of the variance in the sadism–aggression link. This aggressive pleasure was contingent on sadists’ perceptions that their target suffered due to their aggressive act. After aggression, sadism was associated with increases in negative affect. Sadism thus appears to be a potent predictor of aggression that is motivated by the pleasure of causing pain. Such sadistic aggression ultimately backfires, resulting in greater negative affect. More generally, our results support the crucial role of anticipated and positive forms of affect in motivating aggression.","","2023-11-02 03:38:55","2023-11-03 16:36:51","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/SchoolAccount/Zotero/storage/3WS95Y3D/Chester et al. - Sadism and Aggressive Behavior Inflicting Pain to.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K2W4X3T3","journalArticle","2019","Zhang, Jia Wei; Chen, Serena; Tomova Shakur, Teodora K.; Bilgin, Begüm; Chai, Wen Jia; Ramis, Tamilselvan; Shaban-Azad, Hadi; Razavi, Pooya; Nutankumar, Thingujam; Manukyan, Arpine","A Compassionate Self Is a True Self? Self-Compassion Promotes Subjective Authenticity","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167218820914","http://journals.sagepub.com/doi/10.1177/0146167218820914","Theory and research converge to suggest that authenticity predicts positive psychological adjustment. Given these benefits of authenticity, there is a surprising dearth of research on the factors that foster authenticity. Five studies help fill this gap by testing whether self-compassion promotes subjective authenticity. Study 1 found a positive association between trait self-compassion and authenticity. Study 2 demonstrated that on days when people felt more self-compassionate, they also felt more authentic. Study 3 discovered that people experimentally induced to be self-compassionate reported greater state authenticity relative to control participants. Studies 4 and 5 recruited samples from multiple cultures and used a cross-sectional and a longitudinal design, respectively, and found that self-compassion predicts greater authenticity through reduced fear of negative evaluation (Study 4) and heightened optimism (Study 5). Across studies, self-compassion’s effects on authenticity could not be accounted for by self-esteem. Overall, the results suggest that self-compassion can help cultivate subjective authenticity.","2019-09","2023-11-02 03:39:35","2023-11-03 16:34:12","2023-11-02 03:39:35","1323-1337","","9","45","","Pers Soc Psychol Bull","A Compassionate Self Is a True Self?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/IUQKQTBJ/Zhang et al. - 2019 - A Compassionate Self Is a True Self Self-Compassi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UN6W53H9","journalArticle","2021","Brown-Iannuzzi, Jazmin L.; Lundberg, Kristjen B.; Kay, Aaron C.; Payne, B. Keith","A Privileged Point of View: Effects of Subjective Socioeconomic Status on Naïve Realism and Political Division","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167220921043","http://journals.sagepub.com/doi/10.1177/0146167220921043","In the United States, both economic inequality and political conflict are on the rise. We investigated whether subjective socioeconomic status (SSS) may help explain why these dual patterns emerge. We hypothesized that higher SSS may increase na¨ıve realism—the belief that one perceives the world as it is, rather than as interpreted through one’s own knowledge and beliefs—regarding political issues. Using a representative sample of the American electorate, we found that higher SSS predicted more political na¨ıve realism toward those from a different political party (Study 1). The remaining experiments examined the causal relationship between SSS and political na¨ıve realism (Studies 2–5). We extended these findings by investigating whether SSS influenced participants’ willingness to exclude those with contrary views from a vote (Studies 4 and 5). Together, these studies demonstrate that SSS enhances political na¨ıve realism and can lead to the exclusion of others with contrary opinions.","2021-02","2023-11-02 03:40:49","2023-11-03 16:37:26","2023-11-02 03:40:49","241-256","","2","47","","Pers Soc Psychol Bull","A Privileged Point of View","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/AEBRBKJ6/Brown-Iannuzzi et al. - 2021 - A Privileged Point of View Effects of Subjective .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUFIC9MG","journalArticle","2021","Young, Danielle M.; Sanchez, Diana T.; Pauker, Kristin; Gaither, Sarah E.","A Meta-Analytic Review of Hypodescent Patterns in Categorizing Multiracial and Racially Ambiguous Targets","Personality and Social Psychology Bulletin","","0146-1672, 1552-7433","10.1177/0146167220941321","http://journals.sagepub.com/doi/10.1177/0146167220941321","Research addressing the increasing multiracial population (i.e., identifying with two or more races) is rapidly expanding. This meta-analysis (k = 55) examines categorization patterns consistent with hypodescent, or the tendency to categorize multiracial targets as their lower status racial group. Subgroup analyses suggest that operationalization of multiracial (e.g., presenting photos of racially ambiguous faces, or ancestry information sans picture), target gender, and categorization measurement (e.g., selecting from binary choices: Black or White; or multiple categorization options: Black, White, or multiracial) moderated categorization patterns. Operationalizing multiracial as ancestry, male targets, and measuring categorization with binary or multiple Likert-type scale outcomes supported hypodescent. However, categorizing multiracial targets as not their lower status racial group occurred for female targets or multiple categorization options. Evidence was mixed on whether perceiver and target race were related to categorization patterns. These results point to future directions for understanding categorization processes and multiracial perception.","2021-05","2023-11-02 03:41:36","2023-11-03 16:37:14","2023-11-02 03:41:36","705-727","","5","47","","Pers Soc Psychol Bull","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/A8AVDSRG/Young et al. - 2021 - A Meta-Analytic Review of Hypodescent Patterns in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
