"","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1","10.1037/t68389-000","Comprehensive Relative Autonomy Index","comprehensive relative autonomy index",2,"KM Sheldon, EN Osin, TO Gordeeva, ...",2017,"… Psychology Bulletin","psycnet.apa.org","https://psycnet.apa.org/doiLanding?doi=10.1037/t68389-000","https://scholar.google.com/scholar?cites=11890684423051787120&as_sdt=2005&sciodt=0,5&hl=en",122,FALSE,NA,2,0.33,1,4,6,"Abstract The Comprehensive Relative Autonomy Index (C-RAI; Sheldon et al., 2017) is based on self-determination theory's"" relative autonomy continuum"", with items derived from …",NA,"https://scholar.google.com/scholar?q=related:cLtFtHsyBKUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"2","10.1037/t71065-000","Basic Psychological Need Satisfaction at Work Scale","basic psychological need satisfaction at work scal",1,"EL Deci, RM Ryan, M Gagné, DR Leone, ...",2017,"… and Social Psychology …","psycnet.apa.org","https://psycnet.apa.org/doiLanding?doi=10.1037/t71065-000","https://scholar.google.com/scholar?cites=17081666958882624149&as_sdt=2005&sciodt=0,5&hl=en",124,FALSE,NA,1,0,0,5,-Inf,"Abstract The Basic Psychological Need Satisfaction at Work Scale (BPNS-W; Deci et al., 2001) was developed within the context of a study testing a model derived from self …",NA,"https://scholar.google.com/scholar?q=related:ldK5t5hFDu0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"3","10.1177/0146167216673349","The curvilinear relationship between attitude certainty and attitudinal advocacy","the curvilinear relationship between attitude cert",41,"LB Cheatham, ZL Tormala",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216673349","https://scholar.google.com/scholar?cites=2919470833566168003&as_sdt=2005&sciodt=0,5&hl=en",58,FALSE,NA,41,6.83,21,2,6,"Do people advocate more on behalf of their own attitudes and opinions when they feel certain or uncertain? Although considerable past research suggests that people are more …","https://www.researchgate.net/profile/Lauren-Cheatham/publication/309955172_The_Curvilinear_Relationship_Between_Attitude_Certainty_and_Attitudinal_Advocacy/links/59b095daa6fdcc3f8889b3cc/The-Curvilinear-Relationship-Between-Attitude-Certainty-and-Attitudinal-Advocacy.pdf","https://scholar.google.com/scholar?q=related:wzPTTkELhCgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"4","10.1177/0146167216673351","Propositional versus dual-process accounts of evaluative conditioning: I. The effects of co-occurrence and relational information on implicit and explicit evaluations","propositional versus dualprocess accounts of evalu",99,"X Hu, B Gawronski, R Balas",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216673351","https://scholar.google.com/scholar?cites=16181823135856024197&as_sdt=2005&sciodt=0,5&hl=en",20,FALSE,NA,99,16.5,33,3,6,"Evaluative conditioning (EC) is defined as the change in the evaluation of a conditioned stimulus (CS) due to its pairing with a valenced unconditioned stimulus (US). According to …","http://bertramgawronski.com/documents/HGB2017PSPB.pdf","https://scholar.google.com/scholar?q=related:hVrlNmhikeAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"5","10.1177/0146167216675330","Evidence of non-corresponsive causal relationships between personality traits and social power over time","evidence of noncorresponsive causal relationships ",15,"D Wood, PD Harms",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675330","https://scholar.google.com/scholar?cites=4642879898455248174&as_sdt=2005&sciodt=0,5&hl=en",102,FALSE,NA,15,2.5,8,2,6,"Although the effects of personality traits on social environments are regularly thought to mirror the effects of social environments on personality traits, the causal dynamics existing …",NA,"https://scholar.google.com/scholar?q=related:Lg06KqvSbkAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"6","10.1177/0146167216675331","Using groups to measure intergroup prejudice","using groups to measure intergroup prejudice",54,"E Cooley, BK Payne",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675331","https://scholar.google.com/scholar?cites=3588966630629519217&as_sdt=2005&sciodt=0,5&hl=en",42,FALSE,NA,54,9,27,2,6,"Implicit measures of racial attitudes often assess reactions to images of individuals to infer attitudes toward an entire social category. However, an increasing amount of research …",NA,"https://scholar.google.com/scholar?q=related:cS9nqSKSzjEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"7","10.1177/0146167216675332","Self-expression on social media: Do tweets present accurate and positive portraits of impulsivity, self-esteem, and attachment style?","selfexpression on social media do tweets present a",106,"E Orehek, LJ Human",2017,"Personality and social psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675332","https://scholar.google.com/scholar?cites=6411981430912268331&as_sdt=2005&sciodt=0,5&hl=en",17,FALSE,NA,106,17.67,53,2,6,"Self-expression values are at an all-time high, and people are increasingly relying upon social media platforms to express themselves positively and accurately. We examined …","https://www.academia.edu/download/51487991/OrehekHumanPSPB.pdf","https://scholar.google.com/scholar?q=related:KzjtpyPv-1gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"8","10.1177/0146167216675333","Communal and agentic interpersonal and intergroup motives predict preferences for status versus power","communal and agentic interpersonal and intergroup ",29,"KD Locke, S Heller",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675333","https://scholar.google.com/scholar?cites=6571118685463805102&as_sdt=2005&sciodt=0,5&hl=en",84,FALSE,NA,29,4.83,15,2,6,"Seven studies involving 1,343 participants showed how circumplex models of social motives can help explain individual differences in preferences for status (having others' admiration) …","https://www.webpages.uidaho.edu/klocke/publications/2017%20Locke%20Heller%20Status-v-Power.pdf","https://scholar.google.com/scholar?q=related:rnwAEKFNMVsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"9","10.1177/0146167216675334","Backlash: The politics and real-world consequences of minority group dehumanization","backlash the politics and realworld consequences o",254,"N Kteily, E Bruneau",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675334","https://scholar.google.com/scholar?cites=2426153995680242609&as_sdt=2005&sciodt=0,5&hl=en",3,FALSE,NA,254,42.33,127,2,6,"Research suggests that members of advantaged groups who feel dehumanized by other groups respond aggressively. But little is known about how meta-dehumanization affects …","http://www.craiganderson.org/wp-content/uploads/caa/Classes/Readings/17Kteily-TrumpDehumanization.pdf","https://scholar.google.com/scholar?q=related:sVvqajRuqyEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"10","10.1177/0146167216675339","I am aware of my inconsistencies but can tolerate them: The effect of high quality listening on speakers' attitude ambivalence","i am aware of my inconsistencies but can tolerate ",98,"G Itzchakov, AN Kluger, ...",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675339","https://scholar.google.com/scholar?cites=13788393423300438286&as_sdt=2005&sciodt=0,5&hl=en",21,FALSE,NA,98,16.33,33,3,6,"We examined how listeners characterized by empathy and a non-judgmental approach affect speakers' attitude structure. We hypothesized that high quality listening decreases …","https://www.academia.edu/download/91002689/854a1620cc751d8ca484765b40e8e5b2a581.pdf","https://scholar.google.com/scholar?q=related:Dqkns8M2Wr8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"11","10.1177/0146167216676478","Intergroup contact and social change: Implications of negative and positive contact for collective action in advantaged and disadvantaged groups","intergroup contact and social change implications ",251,"NK Reimer, JC Becker, A Benz, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216676478","https://scholar.google.com/scholar?cites=17114699522853567743&as_sdt=2005&sciodt=0,5&hl=en",5,FALSE,NA,251,41.83,63,4,6,"Previous research has shown that (a) positive intergroup contact with an advantaged group can discourage collective action among disadvantaged-group members and (b) positive …","https://orca.cardiff.ac.uk/id/eprint/102755/1/Rychlowska.%20Intergroup%20contact%20and%20social%20change%20%28002%29.pdf","https://scholar.google.com/scholar?q=related:__w72Ymgg-0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"12","10.1177/0146167216676479","Moralization through moral shock: Exploring emotional antecedents to moral conviction","moralization through moral shock exploring emotion",114,"DC Wisneski, LJ Skitka",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216676479","https://scholar.google.com/scholar?cites=5738212905681412955&as_sdt=2005&sciodt=0,5&hl=en",12,FALSE,NA,114,19,57,2,6,"The current research tested whether exposure to disgusting images increases moral conviction and whether this happens in the presence of incidental disgust cues versus …","https://lskitka.people.uic.edu/MoralShock.pdf","https://scholar.google.com/scholar?q=related:W-OzQDw6ok8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"13","10.1177/0146167216676480","Immediate rewards predict adherence to long-term goals","immediate rewards predict adherence to longterm go",110,"K Woolley, A Fishbach",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216676480","https://scholar.google.com/scholar?cites=4702848185908997771&as_sdt=2005&sciodt=0,5&hl=en",15,FALSE,NA,110,18.33,55,2,6,"People primarily pursue long-term goals, such as exercising, to receive delayed rewards (eg, improved health). However, we find that the presence of immediate rewards is a …","https://www.academia.edu/download/53407523/Woolley_FishbachPSPB.pdf","https://scholar.google.com/scholar?q=related:iy6yIYLfQ0EJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"14","10.1177/0146167216678857","Not by success alone: Role models provide pathways to communal opportunities in STEM","not by success alone role models provide pathways ",81,"MA Fuesting, AB Diekman",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678857","https://scholar.google.com/scholar?cites=9363313875494439161&as_sdt=2005&sciodt=0,5&hl=en",26,FALSE,NA,81,13.5,41,2,6,"Because of stereotypes that science, technology, engineering, and mathematics (STEM) fields do not fulfill communal goals, communally oriented individuals may select out of …",NA,"https://scholar.google.com/scholar?q=related:-QhVXVws8YEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
