"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3MVXWG8E","journalArticle","2018","Doré, Bruce; Bolger, Niall","Population- and Individual-Level Changes in Life Satisfaction Surrounding Major Life Stressors","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617727589","http://journals.sagepub.com/doi/10.1177/1948550617727589","How do stressful life events impact well-being, and how does their impact differ from person to person? In contrast to work focusing on discrete classes of responding, the current study examines the adequacy of a model where responses to stressors are characterized by a population average and continuous variability around that average. Using decades of yearly data from a large German longitudinal study examining effects of divorce, spousal loss, and unemployment, we found that (1) in the overall population, life satisfaction was diminished for years preceding stressors and only incompletely recovered with the passage of time, and (2) there were large between-person differences around the average response, following normal and heavier-tailed continuous distributions rather than discrete classes. These findings provide a multilevel model of responses to stressors and suggest that individual differences can be understood in terms of continuous variation around what is typical for a given event and population.","2018-09","2023-11-03 03:28:29","2023-11-03 03:28:29","2023-11-03 03:28:29","875-884","","7","9","","Social Psychological and Personality Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/JPL65NQ9/Doré and Bolger - 2018 - Population- and Individual-Level Changes in Life S.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3C3HBQUA","journalArticle","2018","Gündemir, Seval; Galinsky, Adam D.","Multicolored Blindfolds: How Organizational Multiculturalism Can Conceal Racial Discrimination and Delegitimize Racial Discrimination Claims","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617726830","http://journals.sagepub.com/doi/10.1177/1948550617726830","Past studies have found that multicultural approaches to diversity can reduce prejudice and stimulate positive intergroup relations. The current research explored a possible negative side effect of multiculturalism: whether organizational diversity structures geared toward multiculturalism can conceal racial discrimination and delegitimize racial discrimination claims. Three studies found that, even when objective information was indicative of discrimination, both Whites and racial minorities perceived organizations which had diversity policies emphasizing multiculturalism as more fair toward minorities. This perception of (false) fairness led individuals to perceive less racial discrimination and to view claims of racial discrimination against that organization as less legitimate. Furthermore, we found that organizational multiculturalism and externally granted diversity awards both produced a (false) fairness effect. The results suggest an irony of multicultural diversity structures: They can create a false fairness effect that conceals and delegitimizes discrimination.","2018-09","2023-11-03 03:28:31","2023-11-03 03:28:32","2023-11-03 03:28:31","825-834","","7","9","","Social Psychological and Personality Science","Multicolored Blindfolds","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/6HXFUFDU/Gündemir and Galinsky - 2018 - Multicolored Blindfolds How Organizational Multic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA5LPJ6A","journalArticle","2018","Hammond, Matthew D.; Milojev, Petar; Huang, Yanshu; Sibley, Chris G.","Benevolent Sexism and Hostile Sexism Across the Ages","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617727588","http://journals.sagepub.com/doi/10.1177/1948550617727588","Ambivalent sexism theory states that prejudice toward women comprises two interrelated ideologies. Endorsement of hostile sexism—aggressive and competitive attitudes toward women—is linked with endorsement of benevolent sexism—paternalistic and patronizing attitudes toward women. We conduct the first systematic tests of how endorsement of sexism differs across age and across time, using six waves of a nationally representative panel sample of New Zealand adults (N ¼ 10,398). Results indicated U-shaped trajectories for men’s endorsement of hostile sexism, women’s hostile sexism, and women’s benevolent sexism across the life span. However, over time, endorsement of these sexist attitudes tended to decrease for most ages. In contrast, men’s benevolent sexism followed a positive linear trajectory across age and tended not to change over time. These results provide novel evidence of how ambivalent sexism differs across age and highlight that benevolent sexism is particularly tenacious.","2018-09","2023-11-03 03:28:34","2023-11-03 03:28:34","2023-11-03 03:28:34","863-874","","7","9","","Social Psychological and Personality Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/PCX6JRRJ/Hammond et al. - 2018 - Benevolent Sexism and Hostile Sexism Across the Ag.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WY657EYJ","journalArticle","2018","Moody, Eric J.; Reed, Catherine L.; Van Bommel, Tara; App, Betsy; McIntosh, Daniel N.","Emotional Mimicry Beyond the Face?: Rapid Face and Body Responses to Facial Expressions","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617726832","http://journals.sagepub.com/doi/10.1177/1948550617726832","Emotional mimicry—quick and spontaneous matching of another’s expressions—is a well-documented phenomenon that is associated with numerous social outcomes. Although the mechanisms underlying mimicry are not fully understood, there is growing awareness that it is more than a one-to-one motor matching of others’ expressions and may be the result of neural simulation. If true, it is possible that mimicry could extend to other parts of the body, even in the absence of visual information from that body part. Indeed, we found that passively viewing anger and fear expressions, without accompanying information from the body, voice or other channels, produced both facial mimicry and corresponding responses in arm muscles that make a fist or a defensive posture. This suggests that observers simulated observed expressions and that activity may have spilled over to other areas to create a body response.","2018-09","2023-11-03 03:28:37","2023-11-03 03:28:37","2023-11-03 03:28:37","844-852","","7","9","","Social Psychological and Personality Science","Emotional Mimicry Beyond the Face?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/UMTTJY9X/Moody et al. - 2018 - Emotional Mimicry Beyond the Face Rapid Face and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RRM6LUF","journalArticle","2018","Busching, Robert; Krahé, Barbara","The Contagious Effect of Deviant Behavior in Adolescence: A Longitudinal Multilevel Study","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617725151","http://journals.sagepub.com/doi/10.1177/1948550617725151","This article investigated how the development of deviant behavior in adolescence is influenced by the variability of deviant behavior in the peer group. Based on the social information-processing (SIP) model, we predicted that peer groups with a low variability of deviant behavior (providing normative information that is easy to process) should have a main effect on the development of adolescents’ deviant behavior over time, whereas peer groups in which deviant behavior is more variable (i.e., more difficult to process) should primarily impact the deviant behavior of initially nondeviant classroom members. These hypotheses were largely supported in a multilevel analysis using self-reports of deviant behavior in a sample of 16,891 adolescents in 1,308 classes assessed at two data waves about 1-year apart. The results demonstrate the advantages of studying cross-level interactions to clarify the impact of the peer environment on the development of deviant behavior in adolescence.","2018-09","2023-11-03 03:28:39","2023-11-03 03:28:39","2023-11-03 03:28:39","815-824","","7","9","","Social Psychological and Personality Science","The Contagious Effect of Deviant Behavior in Adolescence","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/JLGX33AU/Busching and Krahé - 2018 - The Contagious Effect of Deviant Behavior in Adole.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ED3MTAQ6","journalArticle","2018","Kim, Jinhyung; Christy, Andrew G.; Schlegel, Rebecca J.; Donnellan, M. Brent; Hicks, Joshua A.","Existential Ennui: Examining the Reciprocal Relationship Between Self-Alienation and Academic Amotivation","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617727587","http://journals.sagepub.com/doi/10.1177/1948550617727587","Two studies (N ¼ 649) examined the association between self-alienation (SA; i.e., feelings of detachment from one’s true self) and academic amotivation (AA; i.e., lack of motivation in the academic domain). Based on classical and contemporary theories, a strong link between alienation and amotivation was predicted. A cross-sectional correlation study (Study 1) found that SA significantly predicted AA controlling for relevant variables (e.g., self-efficacy). A four-wave longitudinal design (Study 2) tested the reciprocal relationship between SA and AA within persons. Contrary to the a priori hypothesis that SA would predict amotivation, the path from AA to SA was more consistent and reliable than the other path. The potential bidirectional links between SA and AA, implications, and future directions are discussed.","2018-09","2023-11-03 03:28:41","2023-11-03 03:28:42","2023-11-03 03:28:41","853-862","","7","9","","Social Psychological and Personality Science","Existential Ennui","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/MVCDJ6DF/Kim et al. - 2018 - Existential Ennui Examining the Reciprocal Relati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHQNN56G","journalArticle","2018","Milfont, Taciano L.; Bain, Paul G.; Kashima, Yoshihisa; Corral-Verdugo, Victor; Pasquali, Carlota; Johansson, Lars-Olof; Guan, Yanjun; Gouveia, Valdiney V.; Garðarsdóttir, Ragna B.; Doron, Guy; Bilewicz, Michał; Utsugi, Akira; Aragones, Juan Ignacio; Steg, Linda; Soland, Martin; Park, Joonha; Otto, Siegmar; Demarque, Christophe; Wagner, Claire; Madsen, Ole Jacob; Lebedeva, Nadezhda; González, Roberto; Schultz, P. Wesley; Saiz, José L.; Kurz, Tim; Gifford, Robert; Akotia, Charity S.; Saviolidis, Nína M.; Einarsdóttir, Gró","On the Relation Between Social Dominance Orientation and Environmentalism: A 25-Nation Study","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617722832","http://journals.sagepub.com/doi/10.1177/1948550617722832","Approval of hierarchy and inequality in society indexed by social dominance orientation (SDO) extends to support for human dominance over the natural world. We tested this negative association between SDO and environmentalism and the validity of the new Short Social Dominance Orientation Scale in two cross-cultural samples of students ( N = 4,163, k = 25) and the general population ( N = 1,237, k = 10). As expected, the higher people were on SDO, the less likely they were to engage in environmental citizenship actions, pro-environmental behaviors and to donate to an environmental organization. Multilevel moderation results showed that the SDO–environmentalism relation was stronger in societies with marked societal inequality, lack of societal development, and environmental standards. The results highlight the interplay between individual psychological orientations and social context, as well as the view of nature subscribed to by those high in SDO.","2018-09","2023-11-03 03:28:43","2023-11-03 03:28:44","2023-11-03 03:28:43","802-814","","7","9","","Social Psychological and Personality Science","On the Relation Between Social Dominance Orientation and Environmentalism","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/NE84U92U/Milfont et al. - 2018 - On the Relation Between Social Dominance Orientati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JWCBTAC","journalArticle","2018","Wang, Yuqi; Wu, Wei; Song, Hairong; Wu, Mingzheng; Cai, Huajian","The Development of Implicit Self-Esteem During Emerging Adulthood: A Longitudinal Analysis","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617726831","http://journals.sagepub.com/doi/10.1177/1948550617726831","Emerging adulthood is one of the most important life stages for self and identity development. The present research tracked the development of implicit self-esteem during emerging adulthood at both the group and individual levels. We used the implicit association test to assess implicit self-esteem with the improved D score as the index. We surveyed 327 students each year from the beginning of their first year of university until their graduation, with an extra assessment run in the middle of the first year. First-order autoregressive structural equation modeling indicated that implicit self-esteem remained quite stable during the university years in terms of rank-order stability. Latent growth modeling showed that implicit self-esteem decreased slightly during the university years with females initially manifesting a higher level. These findings enrich our understanding of implicit selfesteem and its development as well as self-construction during emerging adulthood.","2018-09","2023-11-03 03:28:46","2023-11-03 03:28:46","2023-11-03 03:28:46","835-843","","7","9","","Social Psychological and Personality Science","The Development of Implicit Self-Esteem During Emerging Adulthood","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/GV4YH82H/Wang et al. - 2018 - The Development of Implicit Self-Esteem During Eme.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2V3AX8GD","journalArticle","2018","Cesario, Joseph; Johnson, David J.","Power Poseur: Bodily Expansiveness Does Not Matter in Dyadic Interactions","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617725153","http://journals.sagepub.com/doi/10.1177/1948550617725153","Strong claims have been made that power poses can significantly improve one’s life. Starting from an evolutionary perspective, we reason that expansive poses will have no impact in more realistic situations, as in the presence of an interaction partner or when participants are aware of what the pose should accomplish. Across four dyadic studies including both commonly used outcomes and a negotiation task (which could actually have direct benefits for one’s life), we find nearly uniform null effects of holding expansive poses, despite checks confirming the success of the manipulation. For example, in two of the studies, participants watched a popular TED talk on power poses, held an expansive pose, and then completed a negotiation in the presence of a partner, as might happen in real life. We argue that researchers should stop recommending power poses as an empirically supported strategy for improving one’s life.","2018-09","2023-11-03 03:28:48","2023-11-03 03:28:48","2023-11-03 03:28:48","781-789","","7","9","","Social Psychological and Personality Science","Power Poseur","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/ICD43BLM/Cesario and Johnson - 2018 - Power Poseur Bodily Expansiveness Does Not Matter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4AFBBZJ","journalArticle","2018","Stephan, Yannick; Sutin, Angelina R.; Bovier-Lapierre, Gabriel; Terracciano, Antonio","Personality and Walking Speed Across Adulthood: Prospective Evidence From Five Samples","Social Psychological and Personality Science","","1948-5506, 1948-5514","10.1177/1948550617725152","http://journals.sagepub.com/doi/10.1177/1948550617725152","Walking speed is one marker of health in adulthood. Although personality may contribute to gait speed, there is limited longitudinal data on this association. Thus, the present study examined whether personality traits are prospectively associated with walking speed among middle aged and older adults. Participants were adults aged from 25 to 100 years old (N > 15,000) drawn from the Wisconsin Longitudinal Study Graduate and Sibling samples, the Midlife in the United States Survey, the Health and Retirement Study, and the National Health and Aging Trends Survey. Across most samples and in a meta-analysis, lower neuroticism and higher extraversion, conscientiousness, and openness at baseline were prospectively related to faster gait speed. In the HRS, lower neuroticism and higher extraversion, conscientiousness, and openness were related to slower gait speed decline. This study provides robust evidence that walking speed in adulthood reflects, in part, the individual’s personality.","2018-09","2023-11-03 03:28:51","2023-11-03 03:28:51","2023-11-03 03:28:51","773-780","","7","9","","Social Psychological and Personality Science","Personality and Walking Speed Across Adulthood","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/SchoolAccount/Zotero/storage/39AZE8X5/Stephan et al. - 2018 - Personality and Walking Speed Across Adulthood Pr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
