"","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","GSRank","DOI_missing","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1","10.1177/1948550616662026","Compensatory conscientiousness redux: A direct replication of Roberts, Smith, Jackson, and Edmonds (2009)","compensatory conscientiousness redux a direct repl",6,"LB Nickel, J Iveniuk…",2017,"Social psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662026",95,FALSE,6,1,2,3,6,"The present study attempted to closely replicate Roberts, Smith, Jackson, and Edmonds (2009) who found, in part, a compensatory effect such that individuals with spouses higher in …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6533609/","https://scholar.google.com/scholar?q=related:2vu9h5zue1AJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"2","10.1177/1948550616662121","Me or us? Self-control promotes a healthy balance between personal and relationship concerns","me or us selfcontrol promotes a healthy balance be",39,"ML Visserman, F Righetti…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662121",60,FALSE,39,6.5,13,3,6,"Although romantic partners strive to achieve an optimal balance in fulfilling both personal and relational concerns, they are inevitably challenged by how much time and effort they …","https://research.gold.ac.uk/id/eprint/19031/2/Self-Control%20and%20Balance_Visserman%20et%20al_2016_preprint.pdf","https://scholar.google.com/scholar?q=related:cTC7LT8qGSgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"3","10.1177/1948550616662123","Impressions based on a portrait predict, 1-month later, impressions following a live interaction","impressions based on a portrait predict 1month lat",70,"G Gunaydin, E Selcuk, V Zayas",2017,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662123",30,FALSE,70,11.67,23,3,6,"When it comes to person perception, does one “judge a book by its cover?” Perceivers made judgments of liking, and of personality, based on a photograph of an unknown other, and at …","http://repository.bilkent.edu.tr/bitstream/handle/11693/37049/Impressions%20Based%20on%20a%20Portrait%20Predict.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ISL2DNYc2k8J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"4","10.1177/1948550616662124","Correlates of political ideology among US-Born Mexican Americans: Cultural identification, acculturation attitudes, and socioeconomic status","correlates of political ideology among usborn mexi",21,"LP Naumann, V Benet-Martínez…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662124",78,FALSE,21,3.5,7,3,6,"Latino Americans have to navigate involvement and identification with two cultural groups—their ethnic culture and the dominant American culture. Differences in cultural identifications …","https://www.researchgate.net/profile/Laura-Naumann-2/publication/306071121_Correlates_of_Political_Ideology_Among_US-Born_Mexican_Americans_Cultural_Identification_Acculturation_Attitudes_and_Socioeconomic_Status/links/5b06fbfea6fdcc8c25266de8/Correlates-of-Political-Ideology-Among-US-Born-Mexican-Americans-Cultural-Identification-Acculturation-Attitudes-and-Socioeconomic-Status.pdf","https://scholar.google.com/scholar?q=related:qvp_mPkD2swJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"5","10.1177/1948550616662125","The happiness gap between conservatives and liberals depends on country-level threat: A worldwide multilevel study","the happiness gap between conservatives and libera",47,"E Onraet, J Van Assche, A Roets…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662125",48,FALSE,47,7.83,12,4,6,"In the present study, we investigated the much debated “happiness gap” between conservatives and liberals, approaching the issue from a multilevel person× context …","https://www.researchgate.net/profile/Jasper-Assche/publication/305787243_The_Happiness_Gap_Between_Conservatives_and_Liberals_Depends_on_Country-Level_Threat_A_Worldwide_Multilevel_Study/links/57a467d308aefe6167ad48f5/The-Happiness-Gap-Between-Conservatives-and-Liberals-Depends-on-Country-Level-Threat-A-Worldwide-Multilevel-Study.pdf","https://scholar.google.com/scholar?q=related:jRThQRn3yK8J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"6","10.1177/1948550616662126","The company you keep: Personality and friendship characteristics","the company you keep personality and friendship ch",54,"M Laakasuo, A Rotkirch, V Berg…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662126",40,FALSE,54,9,14,4,6,"Studies on personality and friendship have focused on similarities between friends, while differences in friendship patterns have received less attention. We used data from the British …","https://helda.helsinki.fi/bitstream/handle/10138/311735/laakasuo_et_al.pdf?sequence=1","https://scholar.google.com/scholar?q=related:JiGt27c9qCMJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"7","10.1177/1948550616662128","Perceived partner responsiveness predicts better sleep quality through lower anxiety","perceived partner responsiveness predicts better s",113,"E Selcuk, SCE Stanton, RB Slatcher…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662128",21,FALSE,113,18.83,28,4,6,"The present study investigated whether perceived partner responsiveness—the extent to which individuals feel cared for, understood, and validated by their partner—predicted …","https://www.humanhealthlabs.org/s/selck-2017.pdf","https://scholar.google.com/scholar?q=related:7snL_ehE2CgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"8","10.1177/1948550616662129","Day-to-day affect is surprisingly stable: a 2-year longitudinal study of well-being","daytoday affect is surprisingly stable a 2year lon",70,"NW Hudson, RE Lucas…",2017,"… and personality science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662129",31,FALSE,70,11.67,23,3,6,"Previous research suggests global assessments of cognitive well-being—life satisfaction—are relatively stable over time. Far fewer studies have examined the extent to which …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5726280/","https://scholar.google.com/scholar?q=related:J9C8miwXPA4J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"9","10.1177/1948550616662130","Ethnically-based theme house residency and expected discrimination predict downstream markers of inflammation among college students","ethnicallybased theme house residency and expected",13,"M Rheinschmidt-Same…",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616662130",90,FALSE,13,2.17,7,2,6,"We examined participation in an ethnically based residential program or “theme house” during the first year of college as a predictor of downstream immune system inflammation …","https://escholarship.org/content/qt7n78z933/qt7n78z933.pdf","https://scholar.google.com/scholar?q=related:sxGt-7h5-sYJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"10","10.1177/1948550616663802","Intentional sin and accidental virtue? Cultural differences in moral systems influence perceived intentionality","intentional sin and accidental virtue cultural dif",23,"CJ Clark, CW Bauman, SV Kamble…",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616663802",75,FALSE,23,3.83,6,4,6,"Indians and US Americans view harmful actions as morally wrong, but Indians are more likely than US Americans to perceive helping behaviors as moral imperatives. We utilize this …","https://escholarship.org/content/qt0fd31990/qt0fd31990.pdf","https://scholar.google.com/scholar?q=related:23gazYlHN-sJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
