"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"1",1,"10.1037/t68389-000","Comprehensive Relative Autonomy Index","comprehensive relative autonomy index",2,"KM Sheldon, EN Osin, TO Gordeeva, ...",2017,"… Psychology Bulletin","psycnet.apa.org","https://psycnet.apa.org/doiLanding?doi=10.1037/t68389-000","https://scholar.google.com/scholar?cites=11890684423051787120&as_sdt=2005&sciodt=0,5&hl=en",122,FALSE,NA,2,0.33,1,4,6,"Abstract The Comprehensive Relative Autonomy Index (C-RAI; Sheldon et al., 2017) is based on self-determination theory's"" relative autonomy continuum"", with items derived from …",NA,"https://scholar.google.com/scholar?q=related:cLtFtHsyBKUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"2",2,"10.1037/t71065-000","Basic Psychological Need Satisfaction at Work Scale","basic psychological need satisfaction at work scal",1,"EL Deci, RM Ryan, M Gagné, DR Leone, ...",2017,"… and Social Psychology …","psycnet.apa.org","https://psycnet.apa.org/doiLanding?doi=10.1037/t71065-000","https://scholar.google.com/scholar?cites=17081666958882624149&as_sdt=2005&sciodt=0,5&hl=en",124,FALSE,NA,1,0,0,5,-Inf,"Abstract The Basic Psychological Need Satisfaction at Work Scale (BPNS-W; Deci et al., 2001) was developed within the context of a study testing a model derived from self …",NA,"https://scholar.google.com/scholar?q=related:ldK5t5hFDu0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"4",4,"10.1177/0146167216673351","Propositional versus dual-process accounts of evaluative conditioning: I. The effects of co-occurrence and relational information on implicit and explicit evaluations","propositional versus dualprocess accounts of evalu",99,"X Hu, B Gawronski, R Balas",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216673351","https://scholar.google.com/scholar?cites=16181823135856024197&as_sdt=2005&sciodt=0,5&hl=en",20,FALSE,NA,99,16.5,33,3,6,"Evaluative conditioning (EC) is defined as the change in the evaluation of a conditioned stimulus (CS) due to its pairing with a valenced unconditioned stimulus (US). According to …","http://bertramgawronski.com/documents/HGB2017PSPB.pdf","https://scholar.google.com/scholar?q=related:hVrlNmhikeAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"42",42,"10.1177/0146167216689064","Looking backward to move forward: Effects of acknowledgment of victimhood on readiness to compromise for peace in the protracted Israeli–Palestinian conflict","looking backward to move forward effects of acknow",54,"B Hameiri, A Nadler; B Hameri, A Nadler",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216689064","https://scholar.google.com/scholar?cites=10882477159036654936&as_sdt=2005&sciodt=0,5&hl=en",43,FALSE,NA,52,8.67,26,2,6,"Two large-scale surveys conducted in Israel (Study 1A) and the Palestinian Authority (Study 1B) show that the belief by group members that people in the “enemy” group acknowledge …","https://www.academia.edu/download/87253144/014616721668906420220609-1-v8pavh.pdf","https://scholar.google.com/scholar?q=related:WJWufFFTBpcJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"55",55,"10.1177/0146167217697092","The evil animal: A terror management theory perspective on the human tendency to kill animals","the evil animal a terror management theory perspec",38,"U Lifshin, J Greenberg, CA Zestcott, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217697092","https://scholar.google.com/scholar?cites=1858762508634134894&as_sdt=2005&sciodt=0,5&hl=en",68,FALSE,NA,38,6.33,10,4,6,"This research tested whether support for the killing of animals serves a terror management function. In five studies, death primes caused participants to support the killing of animals …","https://www.researchgate.net/profile/Colin-Zestcott/publication/316324725_The_Evil_Animal_A_Terror_Management_Theory_Perspective_on_the_Human_Tendency_to_Kill_Animals/links/5a0da79c0f7e9b9e33ab572f/The-Evil-Animal-A-Terror-Management-Theory-Perspective-on-the-Human-Tendency-to-Kill-Animals.pdf","https://scholar.google.com/scholar?q=related:bpnzSKemyxkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"108",108,"10.1177/0146167217721174","Defining social class across time and between groups","defining social class across time and between grou",65,"D Cohen, F Shin, X Liu, P Ondish, ...",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217721174","https://scholar.google.com/scholar?cites=6164750898479153974&as_sdt=2005&sciodt=0,5&hl=en",33,FALSE,NA,65,10.83,13,5,6,"We examined changes over four decades and between ethnic groups in how people define their social class. Changes included the increasing importance of income, decreasing …","https://www.researchgate.net/profile/Peter-Ondish/publication/319012944_Defining_Social_Class_Across_Time_and_Between_Groups/links/60ca4e4b458515dc17894479/Defining-Social-Class-Across-Time-and-Between-Groups.pdf","https://scholar.google.com/scholar?q=related:NsOeqEeYjVUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"130",130,"10.1177/0146167217733073","Solitude as an approach to affective self-regulation","solitude as an approach to affective selfregulatio",209,"TT Nguyen, RM Ryan, EL Deci",2018,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217733073","https://scholar.google.com/scholar?cites=4764232662580457571&as_sdt=2005&sciodt=0,5&hl=en",2,FALSE,NA,209,41.8,70,3,5,"In this research, we showed that solitude generally has a deactivation effect on people's affective experiences, decreasing both positive and negative high-arousal affects. In Study …","https://acuresearchbank.acu.edu.au/download/7b624e4cc7b2051fafba9496eb0f29f1a5f3f61c9b5b80e1654a9546bbf017c2/604886/AM_Nguyen_2018_Solitude_as_an_approach_to_affective.pdf","https://scholar.google.com/scholar?q=related:Y_BrWF30HUIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"166",166,"10.1177/0146167217746151","Hong Kong liberals are WEIRD: Analytic thought increases support for liberal policies","hong kong liberals are weird analytic thought incr",16,"T Talhelm",2018,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217746151","https://scholar.google.com/scholar?cites=10981113140326772817&as_sdt=2005&sciodt=0,5&hl=en",101,FALSE,NA,16,3.2,16,1,5,"This study tests whether liberals and conservatives within the same society think as if they were from different cultures. I tested this by measuring the cultural thought style of social …","https://scholar.archive.org/work/krwzjiua4rd5dnfdnsccss4fg4/access/wayback/http://pdfs.semanticscholar.org/41a0/19272f81febb646d697a139315fe13269eb6.pdf","https://scholar.google.com/scholar?q=related:UTCNfzjAZJgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"189",189,"10.1177/0146167218757454","Implicit and explicit racial attitudes changed during Black Lives Matter","implicit and explicit racial attitudes changed dur",189,"J Sawyer, A Gampa",2018,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218757454","https://scholar.google.com/scholar?cites=459509146579022388&as_sdt=2005&sciodt=0,5&hl=en",4,FALSE,NA,189,37.8,95,2,5,"Lab-based interventions have been ineffective in changing individuals' implicit racial attitudes for more than brief durations, and exposure to high-status Black exemplars like …","https://journals.sagepub.com/doi/full/10.1177/0146167218757454","https://scholar.google.com/scholar?q=related:NLLiXCKBYAYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"208",208,"10.1177/0146167218766857","(How) does initial self-control undermine later self-control in daily life?","how does initial selfcontrol undermine later selfc",18,"BM Wilkowski, EL Ferguson…",2018,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218766857","https://scholar.google.com/scholar?cites=6477177993883598703&as_sdt=2005&sciodt=0,5&hl=en",92,FALSE,NA,18,3.6,6,3,5,"Past research suggests that self-control lapses occur more frequently following demanding experiences in daily life. However, the reason for these effects is debated. Three studies …","https://psyarxiv.com/zh74y/download?format=pdf","https://scholar.google.com/scholar?q=related:b79oYBGP41kJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
