Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
405,"MA Harris, U Orth","The link between self-esteem and social relationships: A meta-analysis of longitudinal studies.",2020,"Journal of personality and social psychology","psycnet.apa.org","https://psycnet.apa.org/journals/psp/119/6/1459/","https://scholar.google.com/scholar?cites=18236252179841105006&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-08-22 17:17:06","HTML","","","",,,,,405,135.00,203,2,3,"Theorists have long assumed that people's self-esteem and social relationships influence each other. However, the empirical evidence has been inconsistent, creating substantial …","https://psycnet.apa.org/journals/psp/119/6/1459/","https://scholar.google.com/scholar?q=related:bjzf3bwuFP0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
205,"J Sun, K Harris, S Vazire","Is well-being associated with the quantity and quality of social interactions?",2020,"… of personality and social psychology","psycnet.apa.org","https://psycnet.apa.org/record/2019-62902-001","https://scholar.google.com/scholar?cites=11074656148858787968&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-08-22 17:17:06","","","","",,,,,205,68.33,68,3,3,"Social relationships are often touted as critical for well-being. However, the vast majority of studies on social relationships have relied on self-report measures of both social …","https://psycnet.apa.org/manuscript/2019-62902-001.pdf","https://scholar.google.com/scholar?q=related:gNhSYhcVsZkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
148,"M Kofta, W Soral, M Bilewicz","What breeds conspiracy antisemitism? The role of political uncontrollability and uncertainty in the belief in Jewish conspiracy.",2020,"… Personality and Social Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/psp/118/5/900/","https://scholar.google.com/scholar?cites=16381453105995290319&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-08-22 17:17:06","","","","",,,,,148,49.33,49,3,3,"Belief in conspiracy theories about Jews is a prototypical example of how a naïve theory can serve as a universal explanation of “all the bad things happening in society.” Such a theory …","","https://scholar.google.com/scholar?q=related:z5aRp86cVuMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
149,"S Krauss, U Orth, RW Robins","Family environment and self-esteem development: A longitudinal study from age 10 to 16.",2020,"… personality and social psychology","psycnet.apa.org","https://psycnet.apa.org/record/2019-55801-001","https://scholar.google.com/scholar?cites=14040162423449107394&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-08-22 17:17:06","","","","",,,,,149,49.67,50,3,3,"In this study, we examined the effect of family environment on self-esteem development from late childhood (age 10) through adolescence (age 16), using 4-wave longitudinal data from …","https://psycnet.apa.org/manuscript/2019-55801-001.pdf","https://scholar.google.com/scholar?q=related:wrt4Dlat2MIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
138,"JE Pachankis, KA Clark, CL Burton…","Sex, status, competition, and exclusion: Intraminority stress from within the gay community and gay and bisexual men's mental health.",2020,"Journal of Personality …","psycnet.apa.org","https://psycnet.apa.org/record/2020-02346-001","https://scholar.google.com/scholar?cites=13678672076554086893&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-08-22 17:17:06","","","","",,,,,138,46.00,35,4,3,"Gay and bisexual men might face unique, status-based competitive pressures given that their social and sexual relationships often occur with other men, who are known to compete …","https://psycnet.apa.org/manuscript/2020-02346-001.pdf","https://scholar.google.com/scholar?q=related:7akP6sdn1L0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
209,"V Costin, VL Vignoles","Meaning is about mattering: Evaluating coherence, purpose, and existential mattering as precursors of meaning in life judgments.",2020,"… of Personality and Social Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2019-00523-001","https://scholar.google.com/scholar?cites=17962677804804247943&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-08-22 17:17:06","","","","",,,,,209,69.67,105,2,3,"When people judge their lives as meaningful, what is this judgment about? Drawing on recent tripartite theoretical accounts of meaning in life (MIL), we tested the separate …","https://sussex.figshare.com/articles/journal_contribution/Meaning_is_about_mattering_evaluating_coherence_purpose_and_existential_mattering_as_precursors_of_meaning_in_life_judgments/23462585/1/files/41171279.pdf","https://scholar.google.com/scholar?q=related:h5EmCktASPkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
208,"LT Phillips, NM Stephens, SSM Townsend…","Access is not enough: Cultural mismatch persists to limit first-generation students' opportunities for achievement throughout college.",2020,"Journal of Personality …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/119/5/1112/","https://scholar.google.com/scholar?cites=7700350892605640608&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-08-22 17:17:06","","","","",,,,,208,69.33,52,4,3,"United States higher education prioritizes independence as the cultural ideal. As a result, first-generation students (neither parent has a four-year degree) often confront an initial …","https://www.researchgate.net/profile/Sebastien-Goudeau-2/publication/339543761_Access_is_not_enough_Cultural_mismatch_persists_to_limit_first-generation_students'_opportunities_for_achievement_throughout_college/links/5e5d8e394585152ce80111de/Access-is-not-enough-Cultural-mismatch-persists-to-limit-first-generation-students-opportunities-for-achievement-throughout-college.pdf","https://scholar.google.com/scholar?q=related:oA-fr1Yk3WoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
198,"KC McLean, M Syed, M Pasupathi…","The empirical structure of narrative identity: The initial Big Three.",2020,"… personality and social …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/119/4/920/","https://scholar.google.com/scholar?cites=17133996411387396500&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-08-22 17:17:06","","","","",,,,,198,66.00,50,4,3,"A robust empirical literature suggests that individual differences in the thematic and structural aspects of life narratives are associated with and predictive of psychological well …","https://psyarxiv.com/vu4qw/download?format=pdf","https://scholar.google.com/scholar?q=related:lEGQ0_QuyO0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
165,"DB Newman, ME Sachs, AA Stone…","Nostalgia and well-being in daily life: An ecological validity perspective.",2020,"… of personality and social …","psycnet.apa.org","https://psycnet.apa.org/record/2019-02892-001","https://scholar.google.com/scholar?cites=630860891412621520&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-08-22 17:17:06","","","","",,,,,165,55.00,41,4,3,"Nostalgia is a mixed emotion. Recent empirical research, however, has highlighted positive effects of nostalgia, suggesting it is a predominantly positive emotion. When measured as an …","https://psycnet.apa.org/manuscript/2019-02892-001.pdf","https://scholar.google.com/scholar?q=related:0OhVZ6NEwQgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
114,"M Feinberg, R Willer, C Kovacheff","The activist's dilemma: Extreme protest actions reduce popular support for social movements.",2020,"Journal of personality and …","psycnet.apa.org","https://psycnet.apa.org/journals/psp/119/5/1086/","https://scholar.google.com/scholar?cites=6388071224466603912&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-08-22 17:17:06","","","","",,,,,114,38.00,38,3,3,"How do protest actions impact public support for social movements? Here we test the claim that extreme protest actions—protest behaviors perceived to be harmful to others, highly …","https://www.researchgate.net/profile/Matthew-Feinberg-2/publication/338562538_The_activist's_dilemma_Extreme_protest_actions_reduce_popular_support_for_social_movements/links/5ea5eff892851c1a90728bd5/The-activists-dilemma-Extreme-protest-actions-reduce-popular-support-for-social-movements.pdf","https://scholar.google.com/scholar?q=related:iP855u78plgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
