X,Reason,Title,DOI,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,INCLUDED- punctuation,Big five inventory-2,10.1037/t64008-000,big five inventory2,4,"CJ Soto, OP John",2017,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/getdoi.cfm?doi=10.1037/t64008-000,"https://scholar.google.com/scholar?cites=12519011120314467286&as_sdt=2005&sciodt=0,5&hl=en",96,FALSE,NA,4,0.67,2,2,6,"Abstract The Big Five Inventory-2 (BFI-2; Soto &John, 2017) is a major revision of the Big Five Inventory (BFI; John, Donahue, &Kentle, 1991). Several criteria were used to reduced …",NA,"https://scholar.google.com/scholar?q=related:1kOCDUl2vK0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
4,NOT AN ARTICLE- TEST,Political Belief Scale,10.1037/t65993-000,political belief scale,1,"D Webber, M Babush, N Schori-Eyal, ...",2018,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/getdoi.cfm?doi=10.1037/t65993-000,"https://scholar.google.com/scholar?cites=7164465663831368406&as_sdt=2005&sciodt=0,5&hl=en",116,FALSE,NA,1,0.2,0,4,5,"Developed in a study that examined the hypothesis that loss of personal significance fuels extremism via the need for cognitive closure, the Political Belief Scale (Webber et al., 2018) …",NA,"https://scholar.google.com/scholar?q=related:1uIm8o9LbWMJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
5,NOT JPSP,1. Darba lapa: Eksperimentu saraksts,MISSING_DOI_1 darba lapa eksperimentu saraksts,1 darba lapa eksperimentu saraksts,0,"JM Darley, B Latané, U Emeghara, J Dean, S McLeod",2022,… Personality and Social Psychology,NA,NA,NA,169,TRUE,NA,0,0,0,5,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:TjHuu5mumpAJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
6,2008,2 Stereotype und Informationsverarbeitung,MISSING_DOI_2 stereotype und informationsverarbeitung,2 stereotype und informationsverarbeitung,0,"MS Mast, F Krings",2020,Journal of Personality and Social Psychology,buchkomplizen.de,https://www.buchkomplizen.de/out/media/vlb_9783621284226_1.pdf,NA,139,TRUE,NA,0,0,0,2,3,"Ist Ihnen auch schon einmal passiert, dass Sie im Aufzug zusammen mit einem jungen Mann dunkler Hautfarbe fuhren–Ihrer Einschätzung nach ein Asylbewerber–und plötzlich …",https://www.buchkomplizen.de/out/media/vlb_9783621284226_1.pdf,"https://scholar.google.com/scholar?q=related:OgZuwfSpfvoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
15,2023,A meta-analysis of the dark side of the American dream: Evidence for the universal wellness costs of prioritizing extrinsic over intrinsic goals.,MISSING_DOI_a metaanalysis of the dark side of the american dr,a metaanalysis of the dark side of the american dr,9,"EL Bradshaw, JH Conigrave, BA Steward…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2022-90266-001?trk=public_post_comment-text,"https://scholar.google.com/scholar?cites=3956555823580221437&as_sdt=2005&sciodt=0,5&hl=en",8,TRUE,NA,9,9,2,4,1,Self-determination theory holds that the intrinsic and extrinsic content of people's aspirations differentially affect their wellness. An evidence base spanning nearly 30 years indicates that …,NA,"https://scholar.google.com/scholar?q=related:_Y-ADo-C6DYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
18,NOT JPSP,"A New, Better BET: Rescuing Basic Emotion Theory",MISSING_DOI_a new better bet rescuing basic emotion theory,a new better bet rescuing basic emotion theory,0,"DD Hutto, I Robertson, MD Kirchhoff",2018,Journal of Personality and Social Psychology,NA,NA,NA,118,TRUE,NA,0,0,0,3,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:lWVYVqD_BzsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
26,NOT AN ARTICLE,"Abdelal, Rawi, Herrera, Yoshiko M., Johnston, Alastair Iain &McDermott, Rose (2006): Identity as a Variable. Perspectives on Politics, 4, 695-711. Ágh …",MISSING_DOI_abdelal rawi herrera yoshiko m johnston alastair i,abdelal rawi herrera yoshiko m johnston alastair i,0,"PD Allison, M Data, T Oaks",2022,Journal of Personality and Social Psychology,NA,NA,NA,161,TRUE,NA,0,0,0,3,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:VOSWO4CyztsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
27,NOT JPSP,"Abell, L. &Brewer, G.(2014). Machiavellianism, self-monitoring, self-promotion and relational aggression on Facebook. Computers in Human Behavior, 36 …",MISSING_DOI_abell l brewer g2014 machiavellianism selfmonitori,abell l brewer g2014 machiavellianism selfmonitori,0,"M Aguilar, J Miller, S Levy, T Vaughan, MDS Ainsworth…",2022,… Personality and Social Psychology,NA,NA,NA,166,TRUE,NA,0,0,0,6,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:SIBmwA-Wq2wJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
33,2023,Actor and partner power are distinct and have differential effects on social behavior.,MISSING_DOI_actor and partner power are distinct and have diff,actor and partner power are distinct and have diff,2,"NC Overall, JK Maner, MD Hammond…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2022-65157-001,"https://scholar.google.com/scholar?cites=5931333683329176181&as_sdt=2005&sciodt=0,5&hl=en",139,TRUE,NA,2,2,1,4,1,"Interpersonal power involves how much actors can influence partners (actor power) and how much partners can influence actors (partner power). Yet, most theories and …",https://www.researchgate.net/profile/Nickola-Overall/publication/360883216_Actor_and_partner_power_are_distinct_and_have_differential_effects_on_social_behavior/links/63991464e42faa7e75bdc50e/Actor-and-Partner-Power-Are-Distinct-and-Have-Differential-Effects-on-Social-Behavior.pdf,"https://scholar.google.com/scholar?q=related:dRIlN49UUFIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
34,2023,Adherence to emotion norms is greater in individualist cultures than in collectivist cultures.,MISSING_DOI_adherence to emotion norms is greater in individua,adherence to emotion norms is greater in individua,6,"A Vishkin, S Kitayama, MK Berg, E Diener…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2023-16768-001,"https://scholar.google.com/scholar?cites=7067676101401003491&as_sdt=2005&sciodt=0,5&hl=en",23,TRUE,NA,6,6,1,5,1,"It is generally assumed that there is greater pressure to conform to social norms in collectivist cultures than in individualist cultures. However, most research on cultural …",https://www.researchgate.net/profile/Allon-Vishkin/publication/365306690_Adherence_to_emotion_norms_is_greater_in_individualist_cultures_than_in_collectivist_cultures/links/6373755e2f4bca7fd060405d/Adherence-to-emotion-norms-is-greater-in-individualist-cultures-than-in-collectivist-cultures.pdf,"https://scholar.google.com/scholar?q=related:40WG0_dtFWIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
