"","Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"23","3ZD3VPW6","journalArticle",2022,"Wurm, Susanne; Schäfer, Sarah K.","Gain- but not loss-related self-perceptions of aging predict mortality over a period of 23 years: A multidimensional approach.","Journal of Personality and Social Psychology",NA,"1939-1315, 0022-3514","10.1037/pspp0000412","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000412","Some 2 decades have passed since Levy et al. (2002) published their seminal study on the impact of selfperceptions of aging (SPA) on mortality over a period of 23 years in this journal; we aimed at replicating and extending these ﬁndings against the background of recent discussions in the research on subjective aging. Based on a large German nationwide population-based sample of individuals aged 40 and older (N = 2,400), for whom mortality was also documented over a period of 23 years (1996–2019), the present study is the ﬁrst to investigate the unique impact of gain- and loss-related SPA and subjective age (SA) as components of subjective aging on mortality. Data were analyzed with hierarchical Cox proportional hazard regressions. The study pointed to the prominent role of gain-related SPA. For individuals who perceived aging as associated with ongoing development risk of death was half that of individuals with less gain-related SPA. Viewing aging as associated with physical or social losses could not predict mortality after controlling for covariates such as age, gender, education, health-related variables, and psychological variables known to predict mortality. Neither could SA predict mortality. When SA and gain- and loss-related SPA were analyzed in a combined model, gain-related SPA remained a signiﬁcant predictor of mortality. The ﬁndings support previous studies on the importance of SPA for mortality. In addition, the results suggest that mainly gain-related SPA (but not loss-related SPA and SA) explain differences in mortality and should thus be addressed in intervention studies.","2022-09","2023-12-01 15:38:36","2023-12-01 15:38:36","2023-12-01 15:38:36","636-653",NA,3,123,NA,"Journal of Personality and Social Psychology","Gain- but not loss-related self-perceptions of aging predict mortality over a period of 23 years",NA,NA,NA,NA,NA,NA,"en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,"/Users/SchoolAccount/Zotero/storage/4A2CYRLF/Wurm and Schäfer - 2022 - Gain- but not loss-related self-perceptions of agi.pdf",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","4EKLMSSF","journalArticle",2022,"Kardas, Michael; Schroeder, Juliana; O'Brien, Ed","Keep talking: (Mis)understanding the hedonic trajectory of conversation.","Journal of Personality and Social Psychology",NA,"1939-1315, 0022-3514","10.1037/pspi0000379","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspi0000379","People regularly interact with new acquaintances, yet little research has examined the hedonic dynamics of these conversations or the extent to which people are aware of them. Five preregistered laboratory experiments (N = 1,093 participants, including 966 spoken conversations) address these gaps. We ﬁnd that people misunderstand the hedonic trajectory of conversation: After enjoying the initial minutes of conversation with a new acquaintance, participants expected their enjoyment to decline as their conversations continued, but experienced stable or increasing enjoyment in reality. This miscalibration arose at least partly because participants underestimated how much they would have to discuss. Thus, instructing participants to mentally simulate the conversation in detail drew their attention to the conversation material they could discuss and helped to calibrate their enjoyment predictions. When left uncorrected, misunderstanding the hedonic trajectory of conversation can undermine well-being. In one study, participants preferred to spend less time in conversation and more time alone than was optimal for their enjoyment—a ﬁnding that emerged even among participants who reported wanting to enjoy themselves. Throughout our experiments we assessed various conversational contexts (including whether participants had one long conversation with a single partner or several short conversations with different partners), and features of conversation (including participants’ perceived and actual interest in talking to each other, fatigue, and the intimacy of conversation), thus shining novel light on conversational dynamics more broadly. People hold incorrect assumptions about how social interaction changes over time and, consequently, may avoid longer-lasting conversations that would forge closer connections.","2022-10","2023-12-01 15:38:52","2023-12-01 15:38:52","2023-12-01 15:38:52","717-740",NA,4,123,NA,"Journal of Personality and Social Psychology","Keep talking",NA,NA,NA,NA,NA,NA,"en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,"/Users/SchoolAccount/Zotero/storage/RAXAY9YD/Kardas et al. - 2022 - Keep talking (Mis)understanding the hedonic traje.pdf",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MAD952H6","journalArticle",2022,"Humberg, Sarah; Dufner, Michael; Schönbrodt, Felix D.; Geukes, Katharina; Hutteman, Roos; Van Zalk, Maarten H. W.; Denissen, Jaap J. A.; Nestler, Steffen; Back, Mitja D.","The true role that suppressor effects play in condition-based regression analysis: None. A reply to Fiedler (2021).","Journal of Personality and Social Psychology",NA,"1939-1315, 0022-3514","10.1037/pspp0000428","http://doi.apa.org/getdoi.cfm?doi=10.1037/pspp0000428","","2022-10","2023-12-01 15:39:11","2023-12-01 15:39:11","2023-12-01 15:39:11","884-888",NA,4,123,NA,"Journal of Personality and Social Psychology","The true role that suppressor effects play in condition-based regression analysis",NA,NA,NA,NA,NA,NA,"en","",NA,NA,NA,"DOI.org (Crossref)",NA,"",NA,"/Users/SchoolAccount/Zotero/storage/6W229WT2/Humberg et al. - 2022 - The true role that suppressor effects play in cond.pdf",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2Y2KNT6Q","journalArticle",2018,"indicated, No authorship","“Facing humanness: Facial width-to-height ratio predicts ascriptions of humanity”: Correction to Deska, Lloyd, and Hugenberg (2017)","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspi0000123","https://www.proquest.com/docview/1983405959/abstract/4A497268AA1E4214PQ/6","Reports an error in ""Facing Humanness: Facial Width-to-Height Ratio Predicts Ascriptions of Humanity"" by Jason C. Deska, E. Paige Lloyd and Kurt Hugenberg ( Journal of Personality and Social Psychology, Advanced Online Publication, Aug 28, 2017, np). In the article, there is a data error in the Results section of Study 1c. The fourth sentence of the fourth paragraph should read as follows: High fWHR targets (M= 74.39, SD=18.25) were rated as equivalently evolved as their low fWHR counterparts (M=79.39, SD=15.91). (The following abstract of the original article appeared in record 2017-36694-001.) The ascription of mind to others is central to social cognition. Most research on the ascription of mind has focused on motivated, top-down processes. The current work provides novel evidence that facial width-to-height ratio (fWHR) serves as a bottom-up perceptual signal of humanness. Using a range of well-validated operational definitions of humanness, we provide evidence across 5 studies that target faces with relatively greater fWHR are seen as less than fully human compared with their relatively lower fWHR counterparts. We then present 2 ancillary studies exploring whether the fWHR-to-humanness link is mediated by previously established fWHR-trait links in the literature. Finally, 3 additional studies extend this fWHR-humanness link beyond measurements of humanness, demonstrating that the fWHR-humanness link has consequences for downstream social judgments including the sorts of crimes people are perceived to be guilty of and the social tasks for which they seem helpful. In short, we provide evidence for the hypothesis that individuals with relatively greater facial width-to-height ratio are routinely denied sophisticated, humanlike minds. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","2018-01","2024-01-02 18:52:52","2024-01-02 18:52:52","2024-01-02 18:52:52","94",NA,1,114,NA,"","“Facing humanness",NA,NA,NA,NA,NA,NA,"English","",NA,NA,NA,"ProQuest",NA,"Num Pages: 94 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/Y2LYRZGC/indicated - 2018 - “Facing humanness Facial width-to-height ratio predicts ascriptions of humanity” Correction to Des.pdf",NA,NA,"Threat; Anger; Dominance; Face Perception (major); Impression Formation (major); Masculinity; Mind; Social Cognition (major); Trust (Social Behavior)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","8IQQ2CJM","journalArticle",2018,"Stellar, Jennifer E.; Link to external site, this link will open in a new tab; Gordon, Amie; Anderson, Craig L.; Piff, Paul K.; McNeil, Galen D.; Keltner, Dacher","Awe and humility","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspi0000109","https://www.proquest.com/docview/1933974771/abstract/E483834EFE9B4560PQ/5","Humility is a foundational virtue that counters selfish inclinations such as entitlement, arrogance, and narcissism (Tangney, 2000). We hypothesize that experiences of awe promote greater humility. Guided by an appraisal-tendency framework of emotion, we propose that when individuals encounter an entity that is vast and challenges their worldview, they feel awe, which leads to self-diminishment and subsequently humility. In support of these claims, awe-prone individuals were rated as more humble by friends (Study 1) and reported greater humility across a 2-week period (Study 2), controlling for other positive emotions. Inducing awe led participants to present a more balanced view of their strengths and weaknesses to others (Study 3) and acknowledge, to a greater degree, the contribution of outside forces in their own personal accomplishments (Study 4), compared with neutral and positive control conditions. Finally, an awe-inducing expansive view elicited greater reported humility than a neutral view (Study 5). We also elucidated the process by which awe leads to humility. Feelings of awe mediated the relationship between appraisals (perceptions of vastness and a challenge to one’s world view) and humility (Study 4), and self-diminishment mediated the relationship between awe and humility (Study 5). Taken together, these results reveal that awe offers one path to greater humility. (PsycInfo Database Record (c) 2020 APA, all rights reserved) (Source: journal abstract)","2018-02","2024-01-02 18:57:45","2024-01-02 18:57:45","2024-01-02 18:57:45","258-269",NA,2,114,NA,"","",NA,NA,NA,NA,NA,NA,"English","© 2017, American Psychological Association",NA,NA,NA,"ProQuest",NA,"Num Pages: 258-269 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/58HB263M/Stellar et al. - 2018 - Awe and humility.pdf",NA,NA,"Personality Traits (major); Test Construction; Humility (major); Self-Concept (major); Entitlement (Psychological); Narcissism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","BG5LXLMJ","journalArticle",2018,"Parrigon, Scott; Woo, Sang Eun; Tay, Louis","Towards a comprehensive science of situations: On the importance of typicality and the lexical approach","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspp0000180","https://www.proquest.com/docview/2005209549/abstract/83DE13D5EB5342CAPQ/10","The two commentaries to the CAPTION derivation paper (Parrigon, Woo, Tay, & Wang, 2017) provided insightful points regarding the consistency of emergent dimensional structures in the extant literature (Rauthmann & Sherman, 2018, p. 482) and potential concerns regarding the use of the lexical approach to identify psychologically important situation dimensions (Reis, 2018, p. 489). In this rejoinder, we seek to further these important discussions by (a) emphasizing the importance of Typicality in understanding a broad range of psychological processes, (b) clarifying the utility of broad, dimensional-based situation taxonomies such as the CAPTION model for providing key theoretical and empirical linkages across discrete situations, as well as for capturing a broad range of psychologically meaningful dimensions of situations, and (c) reaffirming the need for cross-cultural/language and facet-level investigations of the CAPTION dimensions in future research. We hope that these discussions continue to advance the field toward a more comprehensive science of situations. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","2018-03","2024-01-02 19:04:44","2024-01-02 19:04:44","2024-01-02 19:04:44","493-495",NA,3,114,NA,"","Towards a comprehensive science of situations",NA,NA,NA,NA,NA,NA,"English","© 2018, Department of Psychological Sciences, Purdue University",NA,NA,NA,"ProQuest",NA,"Num Pages: 493-495 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/6YND5PZU/Parrigon et al. - 2018 - Towards a comprehensive science of situations On the importance of typicality and the lexical appro.pdf",NA,NA,"Psychology; Factor Analysis; Concept Formation (major); Measurement (major); Models (major); Taxonomies (major)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","MYMQG5P6","journalArticle",2018,"Reis, Harry T.","Why bottom-up taxonomies are unlikely to satisfy the quest for a definitive taxonomy of situations","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspp0000158","https://www.proquest.com/docview/2005209543/abstract/83DE13D5EB5342CAPQ/9","The recent advent of methods for large-scale data collection has provided an unprecedented opportunity for researchers who seek to develop a taxonomy of situations. Parrigon, Woo, Tay, and Wang’s (2017) CAPTIONs model is the latest such effort. In this comment, I argue that although bottom-up approaches of this sort have clear value, they are unlikely to provide the sort of definitive, comprehensive, and theoretically integrative taxonomy that the field wants and needs. In large part, this is because bottom-up taxonomies represent what is common about situations and not what is theoretically important and influential about them. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","2018-03","2024-01-02 19:04:14","2024-01-02 19:04:14","2024-01-02 19:04:14","489-492",NA,3,114,NA,"","",NA,NA,NA,NA,NA,NA,"English","© 2018, American Psychological Association",NA,NA,NA,"ProQuest",NA,"Num Pages: 489-492 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/FMVMG9EJ/Reis - 2018 - Why bottom-up taxonomies are unlikely to satisfy the quest for a definitive taxonomy of situations.pdf",NA,NA,"Factor Analysis; Concept Formation (major); Measurement (major); Models (major); Taxonomies (major); Social Psychology (major)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ANWPBKH5","journalArticle",2018,"Rauthmann, John F.; Sherman, Ryne A.","The description of situations: Towards replicable domains of psychological situation characteristics","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspp0000162","https://www.proquest.com/docview/2005205065/abstract/83DE13D5EB5342CAPQ/8","Using the most comprehensive lexical approach with English adjectives to date, Parrigon et al. (2017) found 7 major dimensions of psychological situation characteristics (CAPTION: Complexity, Adversity, Positive Valence, Typicality, Importance, humOr, Negative Valence). Researchers using or studying situations may be interested in how well these dimensions empirically overlap with dimensions from other taxonomies, such as the DIAMONDS (Duty, Intellect, Adversity, Mating, pOsitivity, Negativity, Deception, Sociality). This comment highlights empirical and theoretical convergences between CAPTION and DIAMONDS scales, yielding evidence for 5 replicable dimensions. In general, average convergent correlations were substantial (.47–.69), much larger than discriminant ones (.18–.30), and as high as or higher than those typically found for Big Five scales. We highlight the opportunity to integrate different situation characteristics taxonomies and conclude with the plea for large-scale, cross-cultural research that can further expand our knowledge on the structures of situation characteristics. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","2018-03","2024-01-02 19:03:32","2024-01-02 19:03:32","2024-01-02 19:03:32","482-488",NA,3,114,NA,"","The description of situations",NA,NA,NA,NA,NA,NA,"English","© 2018, American Psychological Association",NA,NA,NA,"ProQuest",NA,"Num Pages: 482-488 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/KMHUVXQZ/Rauthmann and Sherman - 2018 - The description of situations Towards replicable domains of psychological situation characteristics.pdf",NA,NA,"Psychology; Factor Analysis; Concept Formation (major); Measurement (major); Models (major); Taxonomies (major); Five Factor Personality Model",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","9K3UJN88","journalArticle",2018,"indicated, No authorship","“Wisdom, bias, and balance: Toward a process-sensitive measurement of wisdom-related cognition”: Correction to Brienza et al. (2017)","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspp0000234","https://www.proquest.com/docview/2157121513/abstract/2B62BC7D062D4315PQ/2","Reports an error in ""Wisdom, bias, and balance: Toward a process-sensitive measurement of wisdom-related cognition"" by Justin P. Brienza, Franki Y. H. Kung, Henri C. Santos, D. Ramona Bobocel and Igor Grossmann ( Journal of Personality and Social Psychology, Advanced Online Publication, Sep 21, 2017, np). In the article, the original supplemental material has been revised to include a clarifying note to the Tests of model fit over larger sample (Samples C–G) section and post-peer review analyses added to the Post-peer review Factor Analytic Tests section. All versions of this article have been corrected. (The following abstract of the original article appeared in record 2017-42043-001.) Philosophers and behavioral scientists refer to wisdom as unbiased reasoning that guides one toward a balance of interests and promotes a good life. However, major instruments developed to test wisdom appear biased, and it is unclear whether they capture balance-related tendencies. We examined whether shifting from global, de-contextualized reports to state-level reports about concrete situations provides a less biased method to assess wise reasoning (e.g., intellectual humility, recognition of uncertainty and change, consideration of the broader context at hand and perspectives of others, integration of these perspectives or compromise), which may be aligned with the notion of balancing interests. Results of a large-scale psychometric investigation (N = 4,463) revealed that the novel Situated WIse Reasoning Scale (SWIS) is reliable and appears independent of psychological biases (attribution bias, bias blind spot, self-deception, and impression management), whereas global wisdom reports are subject to such biases. Moreover, SWIS scores were positively related to indices of living well (e.g., adaptive emotion regulation, mindfulness), and balancing of cooperative and self-protective interests, goals (influence-vs.-adjustment), and causal inferences about conflict (attribution to the self-vs.-other party). In contrast, global wisdom reports were unrelated or negatively related to balance-related measures. Notably, people showed modest within-person consistency in wise reasoning across situations or over time, suggesting that a single-shot measurement may be insufficient for whole understanding of trait-level wisdom. We discuss theoretical and practical implications for research on wisdom, judgment and decision making, well-being, and prosociality. (PsycINFO Database Record (c) 2018 APA, all rights reserved) (Source: journal abstract)","2018-12","2024-01-25 01:09:41","2024-01-25 01:09:41","2024-01-25 01:09:41","943",NA,6,115,NA,"","“Wisdom, bias, and balance",NA,NA,NA,NA,NA,NA,"English","© 2018, American Psychological Association",NA,NA,NA,"ProQuest",NA,"Num Pages: 943 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/FJPRK7D3/indicated - 2018 - “Wisdom, bias, and balance Toward a process-sensitive measurement of wisdom-related cognition” Cor.pdf",NA,NA,"Goals; Conflict; Test Validity; Test Construction; Factor Structure; Measurement (major); Attribution (major); Conflict Resolution; Deception; Impression Management; Prosocial Behavior; Reasoning (major); Test Bias (major); Test Reliability; Wisdom (major)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","D99V3IVQ","journalArticle",2018,"indicated, No authorship","“Settling for less out of fear of being single”: Correction to Spielmann et al. (2013)","Journal of Personality and Social Psychology",NA,"0022-3514","10.1037/pspp0000227","https://www.proquest.com/docview/2119973869/abstract/F6B03C962CC148F1PQ/3","Reports an error in ""Settling for less out of fear of being single"" by Stephanie S. Spielmann, Geoff MacDonald, Jessica A. Maxwell, Samantha Joel, Diana Peragine, Amy Muise and Emily A. Impett ( Journal of Personality and Social Psychology, 2013[Dec], Vol 105[6], 1049-1073). In the article, the Fear of Being Single Scale used in Study 3 was in fact a version adapted for those currently involved in relationships. In error, it was reported that participants completed the exact same Fear of Being Single Scale as in the other studies in the manuscript, with items generally worded as though participants were currently single (e.g., “I feel it is close to being too late for me to find the love of my life”). The scale items in Study 3 were the same as those in the original scale but included qualifiers such as “If I were single, it would be close to being too late for me to find the love of my life.” (The following abstract of the original article appeared in record 2013-36062-001.) The present research demonstrates that fear of being single predicts settling for less in romantic relationships, even accounting for constructs typically examined in relationship research such as anxious attachment. Study 1 explored the content of people’s thoughts about being single. Studies 2A and 2B involved the development and validation of the Fear of Being Single Scale. Study 2C provided preliminary support for the hypothesis that fear of being single predicts settling for less in ongoing relationships, as evidenced by greater dependence in unsatisfying relationships. Study 3 replicated this effect in a longitudinal study demonstrating that fear of being single predicts lower likelihood of initiating the dissolution of a less satisfying relationship. Studies 4A and 4B explored the predictive ability of fear of being single for self-reported dating standards. Across both samples, fear of being single was unrelated to self-reported standards for a mate, with the exception of consistently higher standards for parenting. Studies 5 and 6 explored romantic interest in targets that were manipulated to vary in responsiveness and physical attractiveness. These studies found that fear of being single consistently predicted romantic interest in less responsive and less attractive dating targets. Study 7 explored fear of being single during a speed-dating event. We found that fear of being single predicted being less selective in expressing romantic interest but did not predict other daters’ romantic interest. Taken together, the present research suggests that fear of being single is a meaningful predictor of settling for less in relationships. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","2018-11","2024-01-25 01:07:53","2024-01-25 01:07:53","2024-01-25 01:07:53","804",NA,5,115,NA,"","“Settling for less out of fear of being single”",NA,NA,NA,NA,NA,NA,"English","© 2018, American Psychological Association",NA,NA,NA,"ProQuest",NA,"Num Pages: 804 Place: Washington, US Publisher: American Psychological Association (US)",NA,"/Users/SchoolAccount/Zotero/storage/SI5DCQXE/indicated - 2018 - “Settling for less out of fear of being single” Correction to Spielmann et al. (2013).pdf",NA,NA,"Test Validity; Social Dating (major); Romance; Test Construction; Individual Differences (major); Interpersonal Interaction (major); Attachment Behavior; Fear (major); Single Persons (major)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
