Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
110,"JN Donald, EL Bradshaw, RM Ryan…","Mindfulness and its association with varied types of motivation: A systematic review and meta-analysis using self-determination theory",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219896136","https://scholar.google.com/scholar?cites=4914100562751600263&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-09-25 15:51:21","","10.1177/0146167219896136","","",,,,,110,36.67,28,4,3,"Mindfulness has been shown to have varied associations with different forms of motivation, leading to a lack of clarity as to how and when it may foster healthy motivational states …","https://www.academia.edu/download/94767238/0146167219896136.pdf","https://scholar.google.com/scholar?q=related:hzZbAW1kMkQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
146,"EA Canning, MC Murphy…","Cultures of genius at work: Organizational mindsets predict cultural norms, trust, and commitment",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219872473","https://scholar.google.com/scholar?cites=13630730683228471638&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-09-25 15:51:21","","10.1177/0146167219872473","","",,,,,146,48.67,49,3,3,"Three studies examine how organizational mindset—whether a company is perceived to view talent as fixed or malleable—functions as a core belief that predicts organizational …","http://faculty.haas.berkeley.edu/chatman/papers/Canning_Murphy_Emerson_Chatman_Dweck_2020_PSPB.pdf","https://scholar.google.com/scholar?q=related:VsHZclYVKr0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
114,"EF Thomas, E Zubielevitch…","Testing the social identity model of collective action longitudinally and across structurally disadvantaged and advantaged groups",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219879111","https://scholar.google.com/scholar?cites=11004849232955655934&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-09-25 15:51:21","","10.1177/0146167219879111","","",,,,,114,38.00,38,3,3,"Although the social identity model of collective action (SIMCA) demonstrates that identity, efficacy, and injustice are key correlates of collective action, longitudinal tests of these …","","https://scholar.google.com/scholar?q=related:_kYNORIUuZgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
85,"KR Blake, S Gangestad","On attenuated interactions, measurement error, and statistical power: Guidelines for social and personality psychologists",2020,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220913363","https://scholar.google.com/scholar?cites=2291679995292298681&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-09-25 15:51:21","","10.1177/0146167220913363","","",,,,,85,28.33,43,2,3,"The replication crisis has seen increased focus on best practice techniques to improve the reliability of scientific findings. What remains elusive to many researchers and is frequently …","","https://scholar.google.com/scholar?q=related:uS1EWtCuzR8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
83,"LS Wilton, AN Bell, M Vahradyan…","Show don't tell: Diversity dishonesty harms racial/ethnic minorities at work",2020,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219897149","https://scholar.google.com/scholar?cites=16622004292561364630&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-09-25 15:51:21","","10.1177/0146167219897149","","",,,,,83,27.67,21,4,3,"Organizations aim to convey that they are diverse and inclusive, in part, to recruit racial minorities. We investigate a previously unexamined downside of this recruitment strategy …","https://www.researchgate.net/profile/Ariana-Bell/publication/338720663_Show_Don%27t_Tell_Diversity_Dishonesty_Harms_RacialEthnic_Minorities_at_Work/links/5e5accef4585152ce8fc7058/Show-Dont-Tell-Diversity-Dishonesty-Harms-Racial-Ethnic-Minorities-at-Work.pdf","https://scholar.google.com/scholar?q=related:lmYjQdY4reYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
77,"ES Kluwer, JC Karremans, L Riedijk…","Autonomy in relatedness: How need fulfillment interacts in close relationships",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219867964","https://scholar.google.com/scholar?cites=4267498876749999426&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-09-25 15:51:21","","10.1177/0146167219867964","","",,,,,77,25.67,19,4,3,"A driving force of relationship maintenance is the fulfillment of basic psychological needs, in particular, the needs for relatedness and autonomy. Until now, research has considered the …","https://journals.sagepub.com/doi/full/10.1177/0146167219867964","https://scholar.google.com/scholar?q=related:Qu0PRJ4zOTsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
68,"KT Poon, Z Chen, WY Wong","Beliefs in conspiracy theories following ostracism",2020,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219898944","https://scholar.google.com/scholar?cites=2743571080114320086&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-09-25 15:51:21","","10.1177/0146167219898944","","",,,,,68,22.67,23,3,3,"Four studies (total valid N= 643) examined whether ostracism increases people's political conspiracy beliefs through heightened vulnerability and whether self-affirmation intervention …","","https://scholar.google.com/scholar?q=related:1rI_flwfEyYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
66,"A Körner, R Deutsch…","Using the CNI model to investigate individual differences in moral dilemma judgments",2020,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220907203","https://scholar.google.com/scholar?cites=1460644454095687813&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-09-25 15:51:21","","10.1177/0146167220907203","","",,,,,66,22.00,22,3,3,"Typical moral dilemmas pitting the consequences of a given action against the action's consistency with moral norms confound several determinants of moral judgments …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220907203","https://scholar.google.com/scholar?q=related:hZCEZWRARRQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
66,"DR Berry, JP Hoerr, S Cesko…","Does mindfulness training without explicit ethics-based instruction promote prosocial behaviors? A meta-analysis",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219900418","https://scholar.google.com/scholar?cites=4860070054765748224&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-09-25 15:51:21","","10.1177/0146167219900418","","",,,,,66,22.00,17,4,3,"Scholarly discourse has raised concerns about the gravitas of secular mindfulness trainings in promoting prosocial outgrowths, as these trainings lack ethics-based concepts found in …","https://www.csusm.edu/profiles/users/drberry/berry_pspb_2020_2.pdf","https://scholar.google.com/scholar?q=related:AGDTDfdvckMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
83,"J De Keersmaecker, D Dunning…","Investigating the robustness of the illusory truth effect across individual differences in cognitive ability, need for cognitive closure, and cognitive style",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219853844","https://scholar.google.com/scholar?cites=8254807853672940798&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-09-25 15:51:21","","10.1177/0146167219853844","","",,,,,83,27.67,28,3,3,"People are more inclined to believe that information is true if they have encountered it before. Little is known about whether this illusory truth effect is influenced by individual …","https://biblio.ugent.be/publication/8653558/file/8653561.pdf","https://scholar.google.com/scholar?q=related:_sRHzwH4jnIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
