"","doi","page","author","title"
"1","ackerman-chopik-2020-cross-cultural-comparisons-in-implicit-and-explicit-age-bias.pdf",14,"Lindsay S. Ackerman ...","Cross-Cultural Comparisons in Implicit a..."
"2","albalooshi-et-al-2019-reinstating-the-resourceful-self-when-and-how-self-affirmations-improve-executive-performance-of.pdf",1,"Sumaya Albalooshi, M...","Reinstating the Resourceful Self: When a..."
"4","albarracin-et-al-2018-action-dominance-the-performance-effects-of-multiple-action-demands-and-the-benefits-of-an.pdf",1,"Dolores Albarracin, ...","Action Dominance: The Performance Effect..."
"8","albarracin-et-al-2020-mistaking-an-intention-for-a-behavior-the-case-of-enacting-behavioral-decisions-versus-simply.pdf",2,"Dolores Albarracin, ...","Mistaking an Intention for a Behavior: T..."
"10","albuja-et-al-2018-identity-denied-comparing-american-or-white-identity-denial-and-psychological-health-outcomes-among.pdf",3,"Analia F. Albuja, Di...","Identity Denied: Comparing American or W..."
"11","allen-et-al-2019-systematic-review-and-meta-analysis-of-self-serving-attribution-biases-in-the-competitive-context-of.pdf",13,"Mark S. Allen, Davin...","Systematic Review and Meta-Analysis of S..."
"14","axt-et-al-2018-reducing-social-judgment-biases-may-require-identifying-the-potential-source-of-bias.pdf",2,"Jordan R. Axt, Grace...","Reducing Social Judgment Biases May Requ..."
"16","baas-et-al-2019-why-social-threat-motivates-malevolent-creativity.pdf",2,"Matthijs Baas, Marie...","Why Social Threat Motivates Malevolent C..."
"20","banker-leary-2019-hypo-egoic-nonentitlement-as-a-feature-of-humility.pdf",14,"Chloe C. Banker and ...","Hypo-Egoic Nonentitlement as a Feature o..."
"21","batruch-et-al-2018-school-selection-and-the-social-class-divide-how-tracking-contributes-to-the-reproduction-of.pdf",3,"Anatolia Batruch, Fr...","School Selection and the Social Class Di..."
"22","behler-et-al-2020-to-help-or-to-harm-assessing-the-impact-of-envy-on-prosocial-and-antisocial-behaviors.pdf",12,"Anna Maria C. Behler...","To Help or To Harm? Assessing the Impact..."
"23","bernecker-becker-2020-beyond-self-control-mechanisms-of-hedonic-goal-pursuit-and-its-relevance-for-well-being.pdf",12,"Katharina Bernecker ...","Beyond Self-Control: Mechanisms of Hedon..."
"26","berry-et-al-2020-does-mindfulness-training-without-explicit-ethics-based-instruction-promote-prosocial-behaviors-a-meta.pdf",19,"Daniel R. Berry, Jon...","Does Mindfulness Training Without Explic..."
"28","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",1,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"33","biernat-et-al-2019-gender-race-and-grant-reviews-translating-and-responding-to-research-feedback.pdf",3,"Monica Biernat, Moll...","Gender, Race, and Grant Reviews: Transla..."
"35","birnbaum-et-al-2017-sex-unleashes-your-tongue-sexual-priming-motivates-self-disclosure-to-a-new-acquaintance-and.pdf",2,"Gurit E. Birnbaum, M...","Sex Unleashes Your Tongue: Sexual Primin..."
"37","birnbaum-et-al-2018-what-fantasies-can-do-to-your-relationship-the-effects-of-sexual-fantasies-on-couple-interactions.pdf",2,"Gurit E. Birnbaum, Y...","What Fantasies Can Do to Your Relationsh..."
"40","boothby-bohns-2020-why-a-simple-act-of-kindness-is-not-as-simple-as-it-seems-underestimating-the-positive-impact-of-our.pdf",12,"Erica J. Boothby and...","Why a Simple Act of Kindness Is Not as S..."
"42","bredow-hames-2018-steadfast-standards-or-fluctuating-fancies-stability-and-change-in-people-s-mate-criteria-over-27.pdf",2,"Carrie A. Bredow and...","Steadfast Standards or Fluctuating Fanci..."
"43","brown-bernieri-2017-trait-perception-accuracy-and-acquaintance-within-groups-tracking-accuracy-development.pdf",2,"Jill A. Brown and Fr...","Trait Perception Accuracy and Acquaintan..."
"44","brown-craig-2019-intergroup-inequality-heightens-reports-of-discrimination-along-alternative-identity-dimensions.pdf",11,"Riana M. Brown and M...","Intergroup Inequality Heightens Reports ..."
"46","bruk-et-al-2021-you-and-i-both-self-compassion-reduces-self-other-differences-in-evaluation-of-showing-vulnerability.pdf",5,"Anna Bruk, Sabine G....","You and I Both: Self-Compassion Reduces ..."
"48","bruneau-et-al-2017-interventions-highlighting-hypocrisy-reduce-collective-blame-of-muslims-for-individual-acts-of.pdf",4,"Emile Bruneau, Nour ...","Interventions Highlighting Hypocrisy Red..."
"50","buttrick-et-al-2020-historical-change-in-the-moral-foundations-of-political-persuasion.pdf",14,"Nicholas Buttrick, R...","Historical Change in the Moral Foundatio..."
"51","cacioppo-et-al-2017-reciprocal-influences-between-loneliness-and-self-centeredness-a-cross-lagged-panel-analysis-in-a.pdf",1,"John T. Cacioppo, Hs...","Reciprocal Influences Between Loneliness..."
"53","campbell-et-al-2020-toward-a-better-understanding-of-the-reciprocal-relations-between-adolescent-psychological-need.pdf",3,"Rachel Campbell, Maa...","Toward a Better Understanding of the Rec..."
"55","cannon-rucker-2018-the-dark-side-of-luxury-social-costs-of-luxury-consumption.pdf",7,"Christopher Cannon a...","The Dark Side of Luxury: Social Costs of..."
"56","cassidy-et-al-2017-influences-on-care-for-others-attachment-security-personal-suffering-and-similarity-between-helper.pdf",14,"Jude Cassidy, Jessic...","Influences on Care for Others: Attachmen..."
"57","chan-maglio-2019-the-voice-of-cognition-active-and-passive-voice-influence-distance-and-construal.pdf",2,"Eugene Y. Chan and S...","The Voice of Cognition: Active and Passi..."
"58","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",1,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"75","chwyl-et-al-2020-beliefs-about-self-compassion-implications-for-coping-and-self-improvement.pdf",16,"Christina Chwyl, Pat...","Beliefs About Self-Compassion: Implicati..."
"76","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",1,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"87","cone-calanchini-2020-a-process-dissociation-model-of-implicit-rapid-revision-in-response-to-diagnostic-revelations.pdf",4,"Jeremy Cone and Jimm...","A Process Dissociation Model of Implicit..."
"88","conner-et-al-2020-cognitive-affective-inconsistency-and-ambivalence-impact-on-the-overall-attitude-behavior-relationship.pdf",1,"Mark Conner, Sarah W...","Cognitive-Affective Inconsistency and Am..."
"89","connor-et-al-2020-social-class-competence-stereotypes-are-amplified-by-socially-signaled-economic-inequality.pdf",2,"Paul Connor, Jordan ...","Social Class Competence Stereotypes Are ..."
"90","cortes-et-al-2018-perceiving-relationship-success-through-a-motivational-lens-a-regulatory-focus-perspective.pdf",13,"Kassandra Cortes, Ab...","Perceiving Relationship Success Through ..."
"91","costabile-madon-2018-downstream-effects-of-dispositional-inferences-on-confirmation-biases.pdf",9,"Kristi A. Costabile ...","Downstream Effects of Dispositional Infe..."
"94","craig-et-al-2021-stereotypes-about-political-attitudes-and-coalitions-among-u-s-racial-groups-implications-for.pdf",2,"Maureen A. Craig, Li...","Stereotypes About Political Attitudes an..."
"96","crawford-brandt-2019-who-is-prejudiced-and-toward-whom-the-big-five-traits-and-generalized-prejudice.pdf",2,"Jarret T. Crawford a...","Who Is Prejudiced, and Toward Whom? The ..."
"97","culcea-freitas-2017-subjective-importance-as-a-cue-for-self-reference.pdf",11,"Ileana C. Culcea and...","Subjective Importance as a Cue for Self-..."
"98","cundiff-et-al-2018-social-stratification-and-risk-for-cardiovascular-disease-examination-of-emotional-suppression-as-a.pdf",4,"Jenny M. Cundiff, J....","Social Stratification and Risk for Cardi..."
"100","cvencek-et-al-2020-meta-analytic-use-of-balanced-identity-theory-to-validate-the-implicit-association-test.pdf",8,"Dario Cvencek, Andre...","Meta-Analytic Use of Balanced Identity T..."
"102","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",1,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"107","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",2,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"114","dawtry-et-al-2019-i-blame-therefore-it-was-rape-myth-acceptance-victim-blaming-and-memory-reconstruction.pdf",14,"Rael J. Dawtry, Phil...","I Blame Therefore It Was: Rape Myth Acce..."
"115","de-keersmaecker-et-al-2019-investigating-the-robustness-of-the-illusory-truth-effect-across-individual-differences-in.pdf",10,"Jonas De keersmaecke...","Investigating the Robustness of the Illu..."
"116","debrosse-et-al-2018-can-identity-conflicts-impede-the-success-of-ethnic-minority-students-consequences-of-discrepancies.pdf",13,"Régine Debrosse, May...","Can Identity Conflicts Impede the Succes..."
"118","deng-et-al-2020-culture-and-patterns-of-reciprocity-the-role-of-exchange-type-regulatory-focus-and-emotions.pdf",6,"Yingli Deng, Cynthia...","Culture and Patterns of Reciprocity: The..."
"119","denning-hodges-2021-when-polarization-triggers-out-group-counter-projection-across-the-political-divide.pdf",2,"Kathryn R. Denning a...","When Polarization Triggers Out-Group Co..."
"121","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",2,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"128","dietze-knowles-2020-social-class-predicts-emotion-perception-and-perspective-taking-performance-in-adults.pdf",1,"Pia Dietze and Eric ...","Social Class Predicts Emotion Perception..."
"130","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",8,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"136","don-hammond-2017-social-support-in-intimate-relationships-the-role-of-relationship-autonomy.pdf",13,"Brian P. Don and Mat...","Social Support in Intimate Relationships..."
"137","donald-et-al-2019-mindfulness-and-its-association-with-varied-types-of-motivation-a-systematic-review-and-meta-analysis.pdf",5,"James N. Donald, Emm...","Mindfulness and Its Association With Var..."
"138","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",13,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"143","eastwick-et-al-2018-best-practices-for-testing-the-predictive-validity-of-ideal-partner-preference-matching.pdf",14,"Paul W. Eastwick, El...","Best Practices for Testing the Predictiv..."
"144","effron-2018-it-could-have-been-true-how-counterfactual-thoughts-reduce-condemnation-of-falsehoods-and-increase.pdf",14,"Daniel A. Effron","It Could Have Been True: How Counterfact..."
"146","elfenbein-et-al-2021-what-do-we-hear-in-the-voice-an-open-ended-judgment-study-of-emotional-speech-prosody.pdf",14,"Hillary Anger Elfenb...","What Do We Hear in the Voice? An Open-En..."
"147","emery-et-al-2018-you-can-t-see-the-real-me-attachment-avoidance-self-verification-and-self-concept-clarity.pdf",14,"Lydia F. Emery, Wend...","You Cant See the Real Me: Attachment Av..."
"149","evans-rubin-2021-in-a-class-on-their-own-investigating-the-role-of-social-integration-in-the-association-between-social.pdf",11,"Olivia Evans and Mar...","In a Class on Their Own: Investigating t..."
