"","term","doi","page","author","title"
"1","disab","ackerman-chopik-2020-cross-cultural-comparisons-in-implicit-and-explicit-age-bias.pdf",14,"Lindsay S. Ackerman ...","Cross-Cultural Comparisons in Implicit a..."
"2","Impairment","albalooshi-et-al-2019-reinstating-the-resourceful-self-when-and-how-self-affirmations-improve-executive-performance-of.pdf",1,"Sumaya Albalooshi, M...","Reinstating the Resourceful Self: When a..."
"3","accessib","albalooshi-et-al-2019-reinstating-the-resourceful-self-when-and-how-self-affirmations-improve-executive-performance-of.pdf",13,"Sumaya Albalooshi, M...","Reinstating the Resourceful Self: When a..."
"4","accessib","albarracin-et-al-2018-action-dominance-the-performance-effects-of-multiple-action-demands-and-the-benefits-of-an.pdf",1,"Dolores Albarracin, ...","Action Dominance: The Performance Effect..."
"5","accessib","albarracin-et-al-2018-action-dominance-the-performance-effects-of-multiple-action-demands-and-the-benefits-of-an.pdf",2,"Dolores Albarracin, ...","Action Dominance: The Performance Effect..."
"6","accessib","albarracin-et-al-2018-action-dominance-the-performance-effects-of-multiple-action-demands-and-the-benefits-of-an.pdf",9,"Dolores Albarracin, ...","Action Dominance: The Performance Effect..."
"7","accessib","albarracin-et-al-2018-action-dominance-the-performance-effects-of-multiple-action-demands-and-the-benefits-of-an.pdf",10,"Dolores Albarracin, ...","Action Dominance: The Performance Effect..."
"8","accessib","albarracin-et-al-2020-mistaking-an-intention-for-a-behavior-the-case-of-enacting-behavioral-decisions-versus-simply.pdf",2,"Dolores Albarracin, ...","Mistaking an Intention for a Behavior: T..."
"9","accessib","albarracin-et-al-2020-mistaking-an-intention-for-a-behavior-the-case-of-enacting-behavioral-decisions-versus-simply.pdf",11,"Dolores Albarracin, ...","Mistaking an Intention for a Behavior: T..."
"10","accessib","albuja-et-al-2018-identity-denied-comparing-american-or-white-identity-denial-and-psychological-health-outcomes-among.pdf",3,"Analia F. Albuja, Di...","Identity Denied: Comparing American or W..."
"11","Handicap","allen-et-al-2019-systematic-review-and-meta-analysis-of-self-serving-attribution-biases-in-the-competitive-context-of.pdf",13,"Mark S. Allen, Davin...","Systematic Review and Meta-Analysis of S..."
"12","Handicap","allen-et-al-2019-systematic-review-and-meta-analysis-of-self-serving-attribution-biases-in-the-competitive-context-of.pdf",15,"Mark S. Allen, Davin...","Systematic Review and Meta-Analysis of S..."
