term,doi,page,author,title
accessib,adam-troian-et-al-2021-we-shall-overcome-first-person-plural-pronouns-from-search-volume-data-predict-protest.pdf,2,"Jais Adam-Troian, Er...",We Shall Overcome: First-Person Plural...
accessib,adam-troian-et-al-2021-we-shall-overcome-first-person-plural-pronouns-from-search-volume-data-predict-protest.pdf,3,"Jais Adam-Troian, Er...",We Shall Overcome: First-Person Plural...
accessib,adam-troian-et-al-2021-we-shall-overcome-first-person-plural-pronouns-from-search-volume-data-predict-protest.pdf,5,"Jais Adam-Troian, Er...",We Shall Overcome: First-Person Plural...
accessib,albohn-adams-2020-emotion-residue-in-neutral-faces-implications-for-impression-formation.pdf,2,Daniel N. Albohn and...,Emotion Residue in Neutral Faces: Implic...
neurotyp,albohn-adams-2020-emotion-residue-in-neutral-faces-implications-for-impression-formation.pdf,1,Daniel N. Albohn and...,Emotion Residue in Neutral Faces: Implic...
accessib,alt-et-al-2021-the-face-of-social-networks-naive-observers-accurate-assessment-of-others-social-network-positions-from.pdf,6,"Nicholas P. Alt, Car...",The Face of Social Networks: Naive Obser...
accessib,anglim-horwood-2021-effect-of-the-covid-19-pandemic-and-big-five-personality-on-subjective-and-psychological-well-being.pdf,10,Jeromy Anglim and Sh...,Effect of the COVID-19 Pandemic and Big ...
Diseased,anglim-horwood-2021-effect-of-the-covid-19-pandemic-and-big-five-personality-on-subjective-and-psychological-well-being.pdf,11,Jeromy Anglim and Sh...,Effect of the COVID-19 Pandemic and Big ...
Impairment,araiza-et-al-2019-social-experience-and-temperamental-predictors-of-rejection-sensitivity-a-prospective-study.pdf,3,"Ashley M. Araiza, An...",Social-Experience and Temperamental Pred...
Syndrome,armstrong-et-al-2018-clarifying-gender-differences-in-moral-dilemma-judgments-the-complementary-roles-of-harm-aversion.pdf,11,"Joel Armstrong, Rebe...",Clarifying Gender Differences in Moral D...
Syndrome,baranski-et-al-2017-comparisons-of-daily-behavior-across-21-countries.pdf,13,"Erica N. Baranski, G...",Comparisons of Daily Behavior Across 21 ...
