author.x,title,year,terms
Alaei et al.,People attribute humanness to men and w...,2022,Impairment
Atherton et al.,The role of effortful control in the de...,2020,Impairment
Beck and Jackson,A mega,2022,Chronic illness
Blain et al.,Extraversion but not depression predict...,2021,Dysfunction
Brandes et al.,Facet,2021,disab
Burrow et al.,"Derailment Conceptualization, measureme...",2020,Chronic illness
Calogero et al.,Smile pretty and watch your back Person...,2021,"disab, Dysfunction"
Caviola et al.,The moral standing of animals Towards a...,2019,"disab, ableis"
Chanes et al.,Facial expression predictions as driver...,2018,disab
Chang et al.,Social decoys Leveraging choice archite...,2018,disab
Chopik et al.,Longitudinal changes in attachment orie...,2019,disab
Crawford et al.,Social and Economic Ideologies Differen...,2017,disab
Denissen et al.,Transactions between life events and pe...,2019,disab
Dixon et al.,"Parallel lives Intergroup contact, thre...",2020,infirm
Don et al.,New parental positivity The role of pos...,2022,Chronic illness
Dupree et al.,Race–status associations Distinct effec...,2021,\babled
Essien et al.,Moderators of intergroup evaluation in ...,2021,"disab, \babled"
Everett et al.,Political differences in free will beli...,2021,Handicap
Fleischmann et al.,More threatening and more diagnostic Ho...,2021,disab
Friesen et al.,Perceiving happiness in an intergroup c...,2019,Impairment
Garrison and Rodgers...,Decomposing the causes of the socioecon...,2019,Chronic illness
Gawronski et al.,"Consequences, Norms, and Generalized In...",2017,deficien
Gebauer et al.,Christian self,2017,disab
Gershon and Smith,Twice,2020,disab
Gill and Cerce,He never willed to have the will he has...,2017,"brain dama, incapac, Impairment, Defect"
Goldring and Bolger,Physical effects of daily stressors are...,2021,Impairment
Gray et al.,The affective harm account (AHA) of mor...,2022,Deform
Grigoryan et al.,Multiple categorization and intergroup ...,2022,disab
Haeffel,Don’t sleep on it Less sleep reduces ri...,2017,Dysfunction
Hennig and Hütter,Revisiting the divide between deontolog...,2020,Impairment
Hoff et al.,Developmental structure of personality ...,2020,disab
Infurna and Luthar,The multidimensional nature of resilien...,2017,"disab, of daily living, \bailing, Ailment"
Jiang et al.,Self,2020,"Impairment, Malaise"
Khan et al.,Development and change in attachment A ...,2020,accessib
Krijnen et al.,Lay theories of financial well,2022,"disab, able-bod, Handicap"
Kroeper et al.,Counterfeit Diversity How Strategically...,2020,disab
Krämer and Rodgers,The impact of having children on domain,2020,disab
Kupor et al.,And the winner is . . . Forecasting th...,2019,"disab, wheelchair, debilit"
Lench et al.,When and why people misestimate future ...,2019,disab
Levine and Munguia G...,“I’m just being honest.” When and why h...,2021,disab
Luo et al.,Personality and health Disentangling th...,2022,Impairment
Maciejewski et al.,Longitudinal associations between negat...,2021,disab
Martin and Mason,What does it mean to be (seen as) human...,2022,disab
Martin and North,Equality for (almost) all Egalitarian a...,2022,"disab, infirm, sickl"
McCabe et al.,Who shines most among the brightest A 2...,2020,Chronic illness
McLean et al.,The empirical structure of narrative id...,2020,disab
Morris et al.,Metacognition fosters cultural learning...,2019,"disab, Syndrome"
Mosley and Biernat,The new identity theft Perceptions of c...,2021,disab
Mueller et al.,How far reaches the power of personalit...,2019,"disab, Impairment, debilit, of daily living, Handicap, frail, Chronic illness"
Mueller et al.,The interplay of personality and functi...,2018,"disab, Impairment, debilit, functional limitation, of daily living, frail, deficien"
Neubauer et al.,How was your day Convergence of aggrega...,2020,Impairment
Nicolas et al.,A spontaneous stereotype content model ...,2022,disab
Ok et al.,Signaling virtuous victimhood as indica...,2021,"disab, debilit, Paralyzed"
Oltmanns et al.,Personality change Longitudinal self,2020,"disab, Impairment"
O’Brien and Klein,The Tipping Point of Perceived Change A...,2017,disfigur
Pachankis et al.,"Sex, status, competition, and exclusion...",2020,disab
Parrigon et al.,CAPTIONing the situation A lexically,2017,Impairment
Pelham,The husband,2021,"Chronic illness, Syndrome"
Philippe et al.,Understanding the cognitive and motivat...,2017,Impairment
RamatiZiber et al.,The beauty myth Prescriptive beauty nor...,2020,Dysfunction
Ray et al.,On being forgotten Memory and forgettin...,2019,Impairment
Roberts et al.,"The design stance, intentional stance, ...",2021,Impairment
Rosenblum et al.,Tell it like it is When politically inc...,2020,"disab, Handicap"
