author.x,title,year,terms
Blain et al.,Extraversion but not depression predict...,2021,Dysfunction
Dixon et al.,"Parallel lives Intergroup contact, thre...",2020,infirm
Dupree et al.,Race–status associations Distinct effec...,2021,\babled
Friesen et al.,Perceiving happiness in an intergroup c...,2019,Impairment
Gray et al.,The affective harm account (AHA) of mor...,2022,Deform
Grigoryan et al.,Multiple categorization and intergroup ...,2022,disab
Haeffel,Don’t sleep on it Less sleep reduces ri...,2017,Dysfunction
Hennig and Hütter,Revisiting the divide between deontolog...,2020,Impairment
Khan et al.,Development and change in attachment A ...,2020,accessib
Neubauer et al.,How was your day Convergence of aggrega...,2020,Impairment
O’Brien and Klein,The Tipping Point of Perceived Change A...,2017,disfigur
Pachankis et al.,"Sex, status, competition, and exclusion...",2020,disab
Philippe et al.,Understanding the cognitive and motivat...,2017,Impairment
RamatiZiber et al.,The beauty myth Prescriptive beauty nor...,2020,Dysfunction
Ray et al.,On being forgotten Memory and forgettin...,2019,Impairment
Roberts et al.,"The design stance, intentional stance, ...",2021,Impairment
Rosenblum et al.,Tell it like it is When politically inc...,2020,"disab, Handicap"
Rovenpor et al.,Intergroup conflict self,2019,debilit
Salerno and Slepian,"Morality, Punishment, and Revealing Oth...",2022,Special needs
Sanchez and Dunning,Jumping to conclusions Implications for...,2021,"disab, Impairment, debilit, deficien"
Sanchez and Dunning,Overconfidence among beginners Is a lit...,2018,Syndrome
Schriber et al.,Dispositional contempt A first look at ...,2017,"disab, Defect, deficien"
Schwaba et al.,Refining the Maturity Principle of Pers...,2022,Dysfunction
Seifert et al.,The Development of the Rank,2022,frail
Shuman et al.,Disrupting the system constructively Te...,2021,disab
Siddaway et al.,Reconceptualizing Anxiety as a Continuu...,2018,Impairment
Stamkou et al.,The spatial representation of leadershi...,2022,Syndrome
Stein et al.,When Alterations Are Violations Moral O...,2022,disab
Stellar and Willer,Unethical and inept The influence of mo...,2018,disab
Sun et al.,Personality Evaluated What Do People Mo...,2022,Dysfunction
Tamir et al.,"When there’s a will, there’s a way Dise...",2019,"Dysfunction, Impairment"
Thalmayer et al.,Personality structure in east and west ...,2020,disab
Tissera et al.,Social anxiety and liking Towards under...,2021,debilit
Van Zant and Berger,How the voice persuades.pdf,2020,Impairment
Verosky et al.,Robust effects of affective person lear...,2018,Syndrome
Vijayakumar et al.,Getting to know me better An fMRI study...,2020,disab
Vilanova et al.,A dual process social psychological mod...,2022,Handicap
Walker and Keller,Beyond attractiveness A multimethod app...,2019,Syndrome
Ward and King,Individual differences in reliance on i...,2018,disab
Webber et al.,The road to extremism Field and experim...,2018,sickl
Wilmot et al.,Direct and conceptual replications of t...,2019,Syndrome
Wilson et al.,Racial bias in judgments of physical si...,2017,incapac
Winter et al.,A matter of flexibility Changing outgro...,2021,wheelchair
Woolley et al.,Food restriction and the experience of ...,2020,disab
Wrzus et al.,Longitudinal coupling of momentary stre...,2021,Impairment
Wurm and Schäfer,Gain,2022,"disab, Impairment, feebl, frail"
Wünsche et al.,Until death do us part The codevelopmen...,2020,"disab, functional limitation, of daily living"
Yin et al.,“I” Am More Concrete Than “We” Linguist...,2022,accessib
Zee et al.,Motivation moderates the effects of soc...,2018,Dysfunction
Zengel et al.,The waxing and waning of mnemic neglect...,2018,Impairment
Zhang et al.,The relationship between adult attachme...,2022,disab
von Soest et al.,Development of loneliness in midlife an...,2020,"disab, Impairment, functional limitation"
